# parameters:
#  num_nodes=4, num_iters=10, ntest=10,   state=plus
# columns:
#  fidelity   failure_rate
0.6 0.3975
0.6102564102564102 0.39249999999999996
0.6205128205128205 0.35
0.6307692307692307 0.35
0.641025641025641 0.33499999999999996
0.6512820512820513 0.37500000000000006
0.6615384615384615 0.37
0.6717948717948717 0.3925
0.6820512820512821 0.3925
0.6923076923076923 0.3825
0.7025641025641025 0.38500000000000006
0.7128205128205128 0.395
0.7230769230769231 0.39249999999999996
0.7333333333333333 0.36500000000000005
0.7435897435897436 0.36
0.7538461538461538 0.4175
0.764102564102564 0.3825
0.7743589743589743 0.395
0.7846153846153846 0.38
0.7948717948717948 0.43
0.8051282051282052 0.3825
0.8153846153846154 0.3475
0.8256410256410256 0.3875
0.8358974358974358 0.37500000000000006
0.8461538461538461 0.37750000000000006
0.8564102564102564 0.35500000000000004
0.8666666666666667 0.41500000000000004
0.8769230769230769 0.3925
0.8871794871794871 0.40750000000000003
0.8974358974358974 0.4025
0.9076923076923077 0.3875
0.9179487179487179 0.3775
0.9282051282051282 0.38
0.9384615384615385 0.3575
0.9487179487179487 0.3775
0.9589743589743589 0.40499999999999997
0.9692307692307692 0.37249999999999994
0.9794871794871794 0.3575
0.9897435897435898 0.37
1.0 0.36500000000000005
