# parameters:
#  num_nodes=4, num_iters=10, ntest=10,   state=bell
# columns:
#  fidelity   failure_rate
0.59 0.4925
0.6005128205128205 0.5125
0.6110256410256409 0.53
0.6215384615384615 0.5175
0.632051282051282 0.51
0.6425641025641026 0.49749999999999994
0.6530769230769231 0.5275000000000001
0.6635897435897435 0.485
0.6741025641025641 0.48250000000000004
0.6846153846153846 0.4999999999999999
0.6951282051282051 0.4925
0.7056410256410256 0.495
0.7161538461538461 0.4675000000000001
0.7266666666666667 0.4925
0.7371794871794872 0.48250000000000004
0.7476923076923077 0.4875
0.7582051282051282 0.5349999999999999
0.7687179487179487 0.47250000000000003
0.7792307692307692 0.4925
0.7897435897435897 0.4875
0.8002564102564103 0.545
0.8107692307692308 0.4875
0.8212820512820513 0.5125000000000001
0.8317948717948718 0.5025000000000001
0.8423076923076923 0.4725
0.8528205128205129 0.4974999999999999
0.8633333333333333 0.5025
0.8738461538461538 0.545
0.8843589743589744 0.5475
0.8948717948717949 0.5199999999999999
0.9053846153846155 0.5475
0.9158974358974359 0.555
0.9264102564102564 0.5325
0.936923076923077 0.4875
0.9474358974358974 0.445
0.9579487179487179 0.51
0.9684615384615385 0.5349999999999999
0.978974358974359 0.4625
0.9894871794871796 0.45499999999999996
1.0 0.5025000000000001
