# parameters:
#  num_nodes=4, num_iters=10, max_ntest=20
# columns:
#  ntest   failure_rates
1 0.375
2 0.425
3 0.31666666666666665
4 0.3625
5 0.355
6 0.37499999999999994
7 0.4178571428571428
8 0.3625
9 0.3805555555555556
10 0.37
11 0.3386363636363636
12 0.36041666666666666
13 0.3653846153846154
14 0.36249999999999993
15 0.4050000000000001
16 0.359375
17 0.4205882352941176
18 0.3694444444444444
19 0.3855263157894736
20 0.3837499999999999
