# parameters:
#  num_nodes=4, num_iters=10, ntest=10,   state=ghz
# columns:
#  fidelity   failure_rate
0.59 0.4574999999999999
0.6005128205128205 0.5400000000000001
0.6110256410256409 0.48250000000000004
0.6215384615384615 0.5375
0.632051282051282 0.5175000000000001
0.6425641025641026 0.53
0.6530769230769231 0.49000000000000005
0.6635897435897435 0.525
0.6741025641025641 0.5025000000000001
0.6846153846153846 0.5225
0.6951282051282051 0.4875
0.7056410256410256 0.48
0.7161538461538461 0.49749999999999994
0.7266666666666667 0.53
0.7371794871794872 0.49499999999999994
0.7476923076923077 0.485
0.7582051282051282 0.47250000000000003
0.7687179487179487 0.51
0.7792307692307692 0.5425000000000001
0.7897435897435897 0.44750000000000006
0.8002564102564103 0.5175000000000001
0.8107692307692308 0.5375
0.8212820512820513 0.4925
0.8317948717948718 0.485
0.8423076923076923 0.48999999999999994
0.8528205128205129 0.45999999999999996
0.8633333333333333 0.48749999999999993
0.8738461538461538 0.5075
0.8843589743589744 0.49749999999999994
0.8948717948717949 0.515
0.9053846153846155 0.4925
0.9158974358974359 0.51
0.9264102564102564 0.53
0.936923076923077 0.5
0.9474358974358974 0.5175
0.9579487179487179 0.5075000000000001
0.9684615384615385 0.56
0.978974358974359 0.5275000000000001
0.9894871794871796 0.5225000000000001
1.0 0.5675000000000001
