# parameters:
#  num_nodes=4, num_iters=10, max_ntest=20
# columns:
#  ntest   failure_rates
1 0.425
2 0.5125
3 0.4666666666666666
4 0.475
5 0.52
6 0.4666666666666666
7 0.48571428571428565
8 0.5125
9 0.5416666666666667
10 0.5075
11 0.5295454545454545
12 0.4854166666666666
13 0.451923076923077
14 0.5
15 0.5266666666666666
16 0.521875
17 0.5102941176470589
18 0.4847222222222222
19 0.5118421052631579
20 0.49375
