# parameters:
#  num_nodes=4, num_iters=10, ntest=10
# columns:
#  link_fidelity   avg_failure_rate    avg_target_fidelity
0.95 0.098125 0.091191
0.9510204081632653 0.103125 0.2
0.9520408163265306 0.103125 0.0
0.9530612244897959 0.09375 0.0
0.9540816326530612 0.090625 0.2
0.9551020408163264 0.10500000000000001 0.10143899999999999
0.9561224489795918 0.11250000000000002 0.3
0.9571428571428571 0.114375 0.300028
0.9581632653061224 0.10124999999999999 0.2
0.9591836734693877 0.07999999999999999 0.4
0.960204081632653 0.098125 0.3
0.9612244897959183 0.08625 0.300004
0.9622448979591837 0.0875 0.2
0.963265306122449 0.094375 0.1
0.9642857142857143 0.09687499999999999 0.460178
0.9653061224489795 0.08875 0.3
0.9663265306122448 0.094375 0.378493
0.9673469387755101 0.08625000000000001 2.3e-05
0.9683673469387755 0.069375 0.3
0.9693877551020408 0.08249999999999999 0.4
0.9704081632653061 0.07999999999999999 0.3
0.9714285714285714 0.06937499999999999 0.2
0.9724489795918367 0.083125 0.05
0.9734693877551021 0.076875 0.1
0.9744897959183674 0.07 0.4
0.9755102040816326 0.080625 0.3
0.9765306122448979 0.06812499999999999 0.4
0.9775510204081632 0.059999999999999984 0.146066
0.9785714285714285 0.075 0.102759
0.9795918367346939 0.05625 0.42089699999999997
0.9806122448979592 0.05750000000000001 0.0
0.9816326530612245 0.0675 0.3
0.9826530612244898 0.052500000000000005 0.2
0.9836734693877551 0.06625 0.4
0.9846938775510204 0.05750000000000001 0.397077
0.9857142857142857 0.06375 0.3
0.986734693877551 0.05750000000000001 0.2
0.9877551020408163 0.058125 0.2
0.9887755102040816 0.05187499999999999 0.2
0.9897959183673469 0.0475 0.3
0.9908163265306122 0.049375 0.1
0.9918367346938776 0.051250000000000004 0.2
0.9928571428571429 0.046875 0.4
0.9938775510204082 0.04562499999999999 0.3
0.9948979591836735 0.0475 0.200001
0.9959183673469387 0.041249999999999995 0.4
0.996938775510204 0.04 0.20000800000000002
0.9979591836734694 0.044375 0.3
0.9989795918367347 0.027499999999999997 0.3
1.0 0.034375 0.1
