# parameters:
#  num_nodes=4, num_iters=10, link_fidelity=0.85
# columns:
#  ntest   avg_failure_rate    avg_target_fidelity
1 0.175 0.328461
2 0.275 0.8
3 0.24999800000000003 0.400154
4 0.19375 0.328897
5 0.215 0.312484
6 0.22916600000000004 0.1
7 0.23571400000000003 0.26701600000000003
8 0.146875 0.071589
9 0.213889 0.375286
10 0.1975 0.24391
11 0.24091 0.199664
12 0.20833400000000002 0.34391
13 0.215386 0.10009699999999999
14 0.20892799999999995 0.5
15 0.221666 0.12140399999999998
16 0.22187700000000002 0.3
17 0.199999 0.10033700000000001
18 0.18750000000000003 0.029651
19 0.17894800000000002 0.2
20 0.20125 0.4
