# parameters:
#  num_nodes=4, num_iters=10, link_fidelity=0.95
# columns:
#  ntest   avg_failure_rate    avg_target_fidelity
1 0.15625 0.5
2 0.109375 0.4
3 0.110416 0.141417
4 0.10156000000000001 0.3
5 0.1 0.2772
6 0.09270999999999999 0.3
7 0.094643 0.299419
8 0.099221 0.4
9 0.100001 0.178447
10 0.114375 0.3
11 0.106818 0.291191
12 0.09635400000000001 0.30479700000000004
13 0.103366 0.233188
14 0.096875 0.27723
15 0.100831 0.248576
16 0.10078100000000001 0.28199700000000005
17 0.10110300000000001 0.091191
18 0.10555699999999998 0.0
19 0.10197300000000001 0.4
20 0.109375 0.43703000000000003
