# parameters:
#  num_nodes=4, num_iters=10, link_fidelity=0.99
# columns:
#  ntest   avg_failure_rate    avg_target_fidelity
1 0.025 0.7
2 0.0625 0.5
3 0.066666 0.4
4 0.075 0.5
5 0.030000000000000006 0.5
6 0.05833499999999999 0.3
7 0.039283 0.2
8 0.03125 0.3
9 0.041668000000000004 0.290548
10 0.042499999999999996 0.2
11 0.034089999999999995 0.2
12 0.0375 0.4
13 0.048076 0.24998800000000002
14 0.049998999999999995 0.2
15 0.051667 0.2
16 0.054688 0.3
17 0.025001000000000002 0.2
18 0.041667 0.1
19 0.039474 0.1
20 0.045 0.1
