# parameters:
#  num_nodes=4, total_iters=979, ntest=20, copies=21
#  phase_average=1.68236397431471, failure_threshold=0.1
# columns:
#  iteration   running_frequency   running_estimation
1 0.0 2.356194490192345
2 0.0 2.356194490192345
3 0.3333333333333333 2.0484546358571514
4 0.5 1.9634954084936207
5 0.6 1.913155928296038
6 0.6666666666666666 1.8785361811300902
7 0.7142857142857143 1.8527676474752108
8 0.625 1.900325344708101
9 0.6666666666666666 1.8785361811300902
10 0.7 1.8606161969767487
11 0.6363636363636364 1.8944387508027227
12 0.6666666666666666 1.8785361811300902
13 0.6153846153846154 1.9052783639291002
14 0.6428571428571429 1.8910574831346088
15 0.6666666666666666 1.8785361811300902
16 0.6875 1.867396214869711
17 0.6470588235294118 1.8888623581974016
18 0.6111111111111112 1.907472135418278
19 0.5789473684210527 1.9238558383341957
20 0.55 1.9384535532032308
21 0.5238095238095238 1.9515861428375199
22 0.5454545454545454 1.940736713984267
23 0.5652173913043478 1.930793534474194
24 0.5833333333333334 1.9216333886886985
25 0.56 1.9334229378949237
26 0.5769230769230769 1.9248805088725747
27 0.5925925925925926 1.9169303325994815
28 0.6071428571428571 1.9095052838223816
29 0.6206896551724138 1.9025486738765367
30 0.6 1.913155928296038
31 0.6129032258064516 1.9065527110969471
32 0.59375 1.9163413119497696
33 0.6060606060606061 1.9100591439406833
34 0.6176470588235294 1.9041151157982592
35 0.6285714285714286 1.8984792903150225
36 0.6388888888888888 1.8931253901859095
37 0.6216216216216216 1.9020683770290048
38 0.6052631578947368 1.9104670808738136
39 0.6153846153846154 1.9052783639291002
40 0.6 1.913155928296038
41 0.6097560975609756 1.9081667979066728
42 0.5952380952380952 1.9155836097497665
43 0.5813953488372093 1.9226158024472642
44 0.5909090909090909 1.9177866242453936
45 0.6 1.913155928296038
46 0.6086956521739131 1.9087101437442375
47 0.6170212765957447 1.9044369952614986
48 0.625 1.900325344708101
49 0.6326530612244898 1.896365056299991
50 0.64 1.8925468811915387
51 0.6470588235294118 1.8888623581974016
52 0.6346153846153846 1.8953468537118396
53 0.6415094339622641 1.8917603555091123
54 0.6481481481481481 1.8882922896794656
55 0.6545454545454545 1.8849361622756167
56 0.6607142857142857 1.8816859759038356
57 0.6666666666666666 1.8785361811300902
58 0.6724137931034483 1.8754816336663698
59 0.6610169491525424 1.8815261462017088
60 0.65 1.8873222449897713
61 0.6557377049180327 1.884309087073628
62 0.6612903225806451 1.8813817540110467
63 0.6666666666666666 1.8785361811300902
64 0.671875 1.8757685725958504
65 0.6615384615384615 1.8812506657199402
66 0.6515151515151515 1.8865276913941074
67 0.6417910447761194 1.8916135350409422
68 0.6323529411764706 1.8965206803921233
69 0.6231884057971014 1.901260398612555
70 0.6142857142857143 1.9058429056720922
71 0.6197183098591549 1.9030490208360142
72 0.625 1.900325344708101
73 0.6301369863013698 1.8976689224341232
74 0.6351351351351351 1.8950769740640003
75 0.64 1.8925468811915387
76 0.6447368421052632 1.8900761748443993
77 0.6493506493506493 1.8876625244859409
78 0.6538461538461539 1.8853037280082345
79 0.6582278481012658 1.8829977026106384
80 0.65 1.8873222449897713
81 0.6419753086419753 1.8915174535282022
82 0.6341463414634146 1.895590333734328
83 0.6385542168674698 1.8932995639005274
84 0.6309523809523809 1.8972465758019106
85 0.6352941176470588 1.8949944063211268
86 0.6395348837209303 1.8927890950687059
87 0.6436781609195402 1.8906290079394161
88 0.6363636363636364 1.8944387508027227
89 0.6292134831460674 1.8981470334920207
90 0.6222222222222222 1.9017587298535124
91 0.6263736263736264 1.8996157461244176
92 0.6304347826086957 1.8975146964611738
93 0.6236559139784946 1.9010191800381824
94 0.6276595744680851 1.8989509640026268
95 0.6210526315789474 1.902361638284255
96 0.625 1.900325344708101
97 0.6288659793814433 1.8983268778411873
98 0.6326530612244898 1.896365056299991
99 0.6262626262626263 1.8996731068870158
100 0.62 1.9029039457338799
101 0.6237623762376238 1.900964240778921
102 0.6274509803921569 1.8990588301276807
103 0.6213592233009708 1.9022036295626985
104 0.625 1.900325344708101
105 0.6190476190476191 1.9033943543013059
106 0.6132075471698113 1.9063965049216787
107 0.6074766355140186 1.909334412955546
108 0.6111111111111112 1.907472135418278
109 0.6055045871559633 1.9103435922131418
110 0.6 1.913155928296038
111 0.5945945945945946 1.9159113190135206
112 0.5892857142857143 1.918611820649571
113 0.5929203539823009 1.9167635569800627
114 0.5964912280701754 1.9149451992515636
115 0.6 1.913155928296038
116 0.603448275862069 1.9113949568456838
117 0.5982905982905983 1.9140279450341884
118 0.6016949152542372 1.9122906881189907
119 0.6050420168067226 1.9105801808098697
120 0.6 1.913155928296038
121 0.6033057851239669 1.911467775614025
122 0.5983606557377049 1.9139922187003453
123 0.5934959349593496 1.916470631742287
124 0.5887096774193549 1.91890451301121
125 0.592 1.9172318097622476
126 0.5873015873015873 1.91961972409969
127 0.5826771653543307 1.9219660892625314
128 0.578125 1.9242721907385054
129 0.5736434108527132 1.9265392550217548
130 0.5769230769230769 1.9248805088725747
131 0.5725190839694656 1.927107521435411
132 0.5757575757575758 1.9254701730719248
133 0.5789473684210527 1.9238558383341957
134 0.582089552238806 1.9222639670646278
135 0.5777777777777777 1.9244479509785086
136 0.5735294117647058 1.9265968820788626
137 0.5766423357664233 1.9250225644473666
138 0.5797101449275363 1.9234695572802052
139 0.5827338129496403 1.9219373698470141
140 0.5857142857142857 1.9204255275616153
141 0.5886524822695035 1.918933571286157
142 0.5845070422535211 1.921038089270783
143 0.5874125874125874 1.9195633570737698
144 0.5833333333333334 1.9216333886886985
145 0.5793103448275863 1.9236720337924464
146 0.5821917808219178 1.9222121487446988
147 0.5782312925170068 1.924218382679439
148 0.5743243243243243 1.9261950088604678
149 0.5704697986577181 1.9281428031187975
150 0.5733333333333334 1.926695995999324
151 0.5695364238410596 1.9286141329048017
152 0.5657894736842105 1.930505006578652
153 0.5620915032679739 1.9323693030500506
154 0.564935064935065 1.9309359086969786
155 0.567741935483871 1.929519953450027
156 0.5705128205128205 1.928121075174074
157 0.5732484076433121 1.926738922512501
158 0.5759493670886076 1.925373154465596
159 0.5723270440251572 1.9272045648089358
160 0.575 1.925853340299449
161 0.5714285714285714 1.9276585162672795
162 0.5740740740740741 1.9263215349267302
163 0.5766871165644172 1.9249999061164464
164 0.573170731707317 1.9267781836114564
165 0.5757575757575758 1.9254701730719248
166 0.5783132530120482 1.9241768908752341
167 0.5748502994011976 1.9259290454084712
168 0.5714285714285714 1.9276585162672795
169 0.5739644970414202 1.9263769338513508
170 0.5764705882352941 1.9251094628587317
171 0.5730994152046783 1.926814229548262
172 0.5755813953488372 1.9255592897291451
173 0.5722543352601156 1.927241305226255
174 0.5747126436781609 1.9259986562384612
175 0.5771428571428572 1.9247692908821872
176 0.5738636363636364 1.926427924420398
