# parameters:
#  num_nodes=4, num_iters=10, num_dishonest=1, dishonest_action=2
# columns:
#   num_copies   avg_failure_rate
20 0.5210526315789473
25 0.525
30 0.46896551724137925
35 0.48235294117647054
40 0.5307692307692307
45 0.4704545454545455
50 0.47755102040816333
55 0.5111111111111111
60 0.5016949152542373
65 0.4890625
70 0.5043478260869565
75 0.5081081081081081
80 0.5088607594936708
85 0.49523809523809526
90 0.4943820224719101
95 0.5106382978723405
100 0.5202020202020201
105 0.5057692307692306
110 0.49724770642201843
115 0.5052631578947369
120 0.5
125 0.4766129032258064
130 0.5178294573643412
135 0.48358208955223886
140 0.5158273381294964
145 0.5013888888888889
150 0.487248322147651
155 0.5000000000000001
160 0.47547169811320755
165 0.500609756097561
170 0.49289940828402373
175 0.4931034482758621
180 0.48044692737430167
185 0.5059782608695651
190 0.4925925925925926
195 0.49587628865979383
200 0.5110552763819095
