# parameters:
#  num_nodes=4, num_iters=10, num_dishonest=1, dishonest_action=1
# columns:
#   num_copies   avg_failure_rate
20 0.48947368421052617
25 0.4875000000000001
30 0.5103448275862068
35 0.49411764705882344
40 0.5128205128205128
45 0.5477272727272726
50 0.5081632653061224
55 0.49074074074074076
60 0.5016949152542374
65 0.5015625
70 0.4782608695652174
75 0.5297297297297298
80 0.5367088607594936
85 0.513095238095238
90 0.49101123595505614
95 0.4872340425531914
100 0.5222222222222223
105 0.5211538461538462
110 0.5
115 0.5192982456140351
120 0.4840336134453781
125 0.4862903225806452
130 0.5046511627906977
135 0.5067164179104477
140 0.4928057553956834
145 0.5152777777777778
150 0.4953020134228187
155 0.4915584415584416
160 0.49748427672955975
165 0.4859756097560976
170 0.48639053254437864
175 0.5166666666666667
180 0.4966480446927374
185 0.5021739130434782
190 0.5010582010582011
195 0.5195876288659793
200 0.48442211055276385
