# parameters:
#  num_nodes=4, num_iters=10, num_dishonest=1, dishonest_action=1
# columns:
#   num_copies   avg_failure_rate
20 0.47894736842105257
25 0.4
30 0.4517241379310345
35 0.43235294117647055
40 0.45384615384615384
45 0.5136363636363636
50 0.5326530612244897
55 0.43518518518518523
60 0.47627118644067795
65 0.4671875
70 0.4710144927536232
75 0.4797297297297298
80 0.5
85 0.44523809523809527
90 0.44831460674157303
95 0.46808510638297873
100 0.4434343434343434
105 0.47980769230769227
110 0.4798165137614679
115 0.4701754385964912
120 0.48151260504201676
125 0.4637096774193548
130 0.48759689922480626
135 0.45597014925373136
140 0.4460431654676259
145 0.47986111111111107
150 0.45369127516778524
155 0.43311688311688307
160 0.45471698113207537
165 0.4445121951219512
170 0.4751479289940829
175 0.48103448275862065
180 0.46089385474860334
185 0.45
190 0.45925925925925926
195 0.47010309278350515
200 0.47286432160804026
