# parameters:
#  num_nodes=4, num_iters=10, num_dishonest=2, dishonest_action=2
# columns:
#   num_copies   avg_failure_rate
20 0.5263157894736843
25 0.5499999999999999
30 0.43103448275862066
35 0.438235294117647
40 0.5051282051282051
45 0.4590909090909091
50 0.46734693877551026
55 0.4814814814814815
60 0.5152542372881357
65 0.546875
70 0.48695652173913045
75 0.4905405405405405
80 0.5012658227848102
85 0.5226190476190475
90 0.49101123595505614
95 0.5138297872340425
100 0.5070707070707071
105 0.4903846153846153
110 0.4798165137614679
115 0.4640350877192983
120 0.5033613445378151
125 0.521774193548387
130 0.4651162790697675
135 0.5037313432835822
140 0.5007194244604316
145 0.5006944444444444
150 0.47651006711409394
155 0.4837662337662338
160 0.49119496855345907
165 0.47804878048780497
170 0.5076923076923078
175 0.5005747126436781
180 0.5122905027932961
185 0.5271739130434783
190 0.501058201058201
195 0.49381443298969074
200 0.5085427135678391
