# parameters:
#  num_nodes=4, num_iters=10, ntest=10
# columns:
#  fidelity   failure_rate
0.8 0.33499999999999996
0.8040816326530613 0.32999999999999996
0.8081632653061225 0.2875
0.8122448979591838 0.30250000000000005
0.8163265306122449 0.2825
0.8204081632653062 0.26
0.8244897959183674 0.27
0.8285714285714286 0.24
0.8326530612244898 0.26749999999999996
0.8367346938775511 0.28250000000000003
0.8408163265306123 0.26
0.8448979591836735 0.275
0.8489795918367348 0.275
0.8530612244897959 0.2875
0.8571428571428572 0.265
0.8612244897959184 0.24499999999999997
0.8653061224489796 0.25000000000000006
0.8693877551020408 0.22249999999999998
0.8734693877551021 0.21000000000000002
0.8775510204081634 0.17750000000000005
0.8816326530612245 0.2425
0.8857142857142858 0.20500000000000002
0.889795918367347 0.2
0.8938775510204082 0.22000000000000003
0.8979591836734694 0.20500000000000002
0.9020408163265307 0.19250000000000003
0.9061224489795918 0.17250000000000001
0.9102040816326531 0.195
0.9142857142857144 0.17
0.9183673469387755 0.1075
0.9224489795918368 0.15999999999999998
0.926530612244898 0.1325
0.9306122448979592 0.1525
0.9346938775510204 0.1325
0.9387755102040817 0.12250000000000001
0.9428571428571428 0.11000000000000001
0.9469387755102041 0.135
0.9510204081632654 0.10500000000000001
0.9551020408163265 0.0975
0.9591836734693878 0.0875
0.963265306122449 0.0825
0.9673469387755103 0.0675
0.9714285714285714 0.0675
0.9755102040816327 0.0675
0.9795918367346939 0.08
0.9836734693877551 0.06000000000000001
0.9877551020408164 0.045000000000000005
0.9918367346938776 0.035
0.9959183673469387 0.025
1.0 0.01
