# parameters:
#  num_nodes=4, num_iters=20, ntest=10
# columns:
#  link_fidelity   avg_failure_rate    avg_target_fidelity
0.8 0.30625 0.3999999999999992
0.8105263157894738 0.29500000000000004 0.3499999999999993
0.8210526315789474 0.28625 0.19830331847438143
0.8315789473684211 0.26749999999999996 0.6000000007028303
0.8421052631578948 0.26375000000000004 0.4450946850679651
0.8526315789473684 0.24749999999999997 0.415602553623372
0.8631578947368421 0.22999999999999998 0.45990627597341344
0.8736842105263158 0.2325 0.3669760294568051
0.8842105263157896 0.20625 0.49245693061488194
0.8947368421052632 0.19 nan
0.9052631578947369 0.18750000000000003 0.499999999999999
0.9157894736842105 0.15250000000000002 0.6000005625777555
0.9263157894736842 0.12125 0.5728471219784546
0.9368421052631579 0.10750000000000001 nan
0.9473684210526316 0.12625 0.5500000010036433
0.9578947368421052 0.09624999999999999 0.6000000000335949
0.968421052631579 0.0775 0.45151381843822874
0.9789473684210527 0.061250000000000006 0.5499999999999989
0.9894736842105263 0.037500000000000006 nan
1.0 0.027500000000000004 0.5999999999999988
