# parameters:
#  num_nodes=4, num_iters=20, ntest=10
# columns:
#  link_fidelity   avg_failure_rate    avg_target_fidelity
0.95 0.1375 0.3924235
0.9510204081632653 0.12500000000000003 0.1301715
0.9520408163265306 0.13625 0.075
0.9530612244897959 0.15875 0.3011905
0.9540816326530612 0.13125 0.200002
0.9551020408163264 0.12125 0.15
0.9561224489795918 0.14 0.425
0.9571428571428571 0.11749999999999998 0.3
0.9581632653061224 0.13374999999999998 0.42664550000000007
0.9591836734693877 0.11374999999999999 0.375
0.960204081632653 0.11749999999999998 0.3219835
0.9612244897959183 0.11750000000000001 0.35000200000000004
0.9622448979591837 0.11875 0.275
0.963265306122449 0.09374999999999999 0.15
0.9642857142857143 0.10874999999999999 0.4500115
0.9653061224489795 0.10750000000000001 0.3007635
0.9663265306122448 0.125 0.3607555
0.9673469387755101 0.10500000000000001 0.30142800000000003
0.9683673469387755 0.10625 0.25
0.9693877551020408 0.12500000000000003 0.15
0.9704081632653061 0.10500000000000001 0.25
0.9714285714285714 0.09375 0.15
0.9724489795918367 0.07624999999999998 0.25
0.9734693877551021 0.10874999999999999 0.3
0.9744897959183674 0.0825 0.4
0.9755102040816326 0.08 0.5
0.9765306122448979 0.07999999999999999 0.4
0.9775510204081632 0.08499999999999999 0.35
0.9785714285714285 0.08999999999999998 0.1513795
0.9795918367346939 0.0775 0.300002
0.9806122448979592 0.08249999999999999 0.3
0.9816326530612245 0.09625 0.25
0.9826530612244898 0.07375 0.25
0.9836734693877551 0.06500000000000002 0.4259875
0.9846938775510204 0.07375000000000001 0.427863
0.9857142857142857 0.07 0.2
0.986734693877551 0.07249999999999998 0.5
0.9877551020408163 0.07749999999999999 0.6
0.9887755102040816 0.065 0.3
0.9897959183673469 0.06875 0.35
0.9908163265306122 0.0825 0.35
0.9918367346938776 0.045 0.2047205
0.9928571428571429 0.06625 0.4
0.9938775510204082 0.061250000000000006 0.45
0.9948979591836735 0.04875 0.40000600000000003
0.9959183673469387 0.057499999999999996 0.4
0.996938775510204 0.05000000000000001 0.2
0.9979591836734694 0.0425 0.35
0.9989795918367347 0.047499999999999994 0.4
1.0 0.049999999999999996 0.3
