# parameters:
#  num_nodes=4, num_iters=10, ntest=10
# columns:
#  link_fidelity   avg_failure_rate    avg_target_fidelity
0.95 0.16499999999999998 0.264174
0.9510204081632653 0.125 0.2
0.9520408163265306 0.1625 0.35
0.9530612244897959 0.14750000000000002 0.2
0.9540816326530612 0.1075 0.5
0.9551020408163264 0.11000000000000001 0.6
0.9561224489795918 0.0925 0.4
0.9571428571428571 0.1125 0.100028
0.9581632653061224 0.1025 0.3
0.9591836734693877 0.09250000000000001 0.3
0.960204081632653 0.12249999999999998 0.6
0.9612244897959183 0.11749999999999998 0.3
0.9622448979591837 0.11499999999999999 0.2
0.963265306122449 0.1075 0.4
0.9642857142857143 0.07999999999999999 0.2
0.9653061224489795 0.13 0.2
0.9663265306122448 0.11500000000000002 0.400004
0.9673469387755101 0.08249999999999999 0.302856
0.9683673469387755 0.11000000000000001 0.100023
0.9693877551020408 0.0975 0.45
0.9704081632653061 0.0875 0.3
0.9714285714285714 0.1075 0.5
0.9724489795918367 0.07 0.3
0.9734693877551021 0.0925 0.3
0.9744897959183674 0.0925 0.1
0.9755102040816326 0.085 0.259093
0.9765306122448979 0.0675 0.5
0.9775510204081632 0.075 0.7
0.9785714285714285 0.09 0.5
0.9795918367346939 0.07250000000000001 0.500008
0.9806122448979592 0.085 0.6
0.9816326530612245 0.0675 0.3
0.9826530612244898 0.07 0.35
0.9836734693877551 0.075 0.2
0.9846938775510204 0.06749999999999999 0.2
0.9857142857142857 0.0475 0.200012
0.986734693877551 0.06499999999999999 0.4
0.9877551020408163 0.075 0.3
0.9887755102040816 0.0675 0.2
0.9897959183673469 0.0675 0.4
0.9908163265306122 0.065 0.5
0.9918367346938776 0.06000000000000001 0.4
0.9928571428571429 0.075 0.3
0.9938775510204082 0.07250000000000001 0.3
0.9948979591836735 0.0425 0.5
0.9959183673469387 0.05 0.3
0.996938775510204 0.045000000000000005 0.30000400000000005
0.9979591836734694 0.065 0.4
0.9989795918367347 0.042499999999999996 0.3
1.0 0.05750000000000001 0.7
