# parameters:
#  num_nodes=4, num_iters=1000, ntest=3, state=ghz
# columns:
#  sensing_iteration   running_frequency   running_estimation   average_phase
2 1.0 0.0 0.55491652012206
7 0.5 0.39269908169872414 0.55491652012206
9 0.6666666666666666 0.3077398543351937 0.55491652012206
13 0.75 0.26179938779914946 0.55491652012206
17 0.8 0.23182380450040302 0.55491652012206
29 0.6666666666666666 0.3077398543351937 0.55491652012206
45 0.7142857142857143 0.2819713206803144 0.55491652012206
47 0.75 0.26179938779914946 0.55491652012206
48 0.7777777777777778 0.24544133914465568 0.55491652012206
57 0.8 0.23182380450040302 0.55491652012206
59 0.8181818181818182 0.22025533150234922 0.55491652012206
65 0.75 0.26179938779914946 0.55491652012206
69 0.6923076923076923 0.2940013017737838 0.55491652012206
72 0.6428571428571429 0.32026115633971225 0.55491652012206
73 0.6 0.3423596015011415 0.55491652012206
75 0.5625 0.36136712390670783 0.55491652012206
81 0.5882352941176471 0.34834918058863157 0.55491652012206
84 0.5555555555555556 0.36486382811348317 0.55491652012206
87 0.5263157894736842 0.37953510463333173 0.55491652012206
94 0.5 0.39269908169872414 0.55491652012206
114 0.5238095238095238 0.38078981604262335 0.55491652012206
118 0.5 0.39269908169872414 0.55491652012206
120 0.5217391304347826 0.3818260890011952 0.55491652012206
128 0.5 0.39269908169872414 0.55491652012206
130 0.48 0.4027017502872214 0.55491652012206
137 0.5 0.39269908169872414 0.55491652012206
141 0.48148148148148145 0.40196045915174716 0.55491652012206
142 0.5 0.39269908169872414 0.55491652012206
145 0.4827586206896552 0.40132148068914386 0.55491652012206
147 0.4666666666666667 0.40937811880128044 0.55491652012206
155 0.45161290322580644 0.4169305532087264 0.55491652012206
157 0.46875 0.408334272147847 0.55491652012206
172 0.45454545454545453 0.41545777620807794 0.55491652012206
174 0.4411764705882353 0.42217911970503647 0.55491652012206
184 0.45714285714285713 0.4141539793251981 0.55491652012206
185 0.4444444444444444 0.42053433528396517 0.55491652012206
188 0.4594594594594595 0.41299162787054966 0.55491652012206
190 0.4473684210526316 0.4190637130485536 0.55491652012206
191 0.46153846153846156 0.41194886686293003 0.55491652012206
202 0.45 0.4177409369891141 0.55491652012206
203 0.4634146341463415 0.41100812711463014 0.55491652012206
229 0.47619047619047616 0.4046083473548249 0.55491652012206
232 0.4883720930232558 0.3985135593775518 0.55491652012206
236 0.5 0.39269908169872414 0.55491652012206
237 0.4888888888888889 0.39825509460329095 0.55491652012206
241 0.4782608695652174 0.4035720743962531 0.55491652012206
243 0.46808510638297873 0.40866738417120957 0.55491652012206
249 0.4583333333333333 0.4135566033513779 0.55491652012206
251 0.46938775510204084 0.4080147826557378 0.55491652012206
252 0.46 0.4127204767071389 0.55491652012206
253 0.47058823529411764 0.40741345818549446 0.55491652012206
262 0.46153846153846156 0.41194886686293003 0.55491652012206
266 0.4528301886792453 0.4163191123535786 0.55491652012206
272 0.4444444444444444 0.42053433528396517 0.55491652012206
274 0.43636363636363634 0.4246037960965682 0.55491652012206
276 0.42857142857142855 0.4285359739250655 0.55491652012206
281 0.42105263157894735 0.4323386518581491 0.55491652012206
284 0.43103448275862066 0.42729212604500094 0.55491652012206
292 0.423728813559322 0.4309841426683682 0.55491652012206
298 0.43333333333333335 0.42613197905120953 0.55491652012206
300 0.4262295081967213 0.4297194775004736 0.55491652012206
306 0.41935483870967744 0.4331985703415055 0.55491652012206
308 0.4126984126984127 0.43657476609265483 0.55491652012206
312 0.40625 0.4398531782425752 0.55491652012206
319 0.4 0.44303856189630686 0.55491652012206
323 0.4090909090909091 0.4384078659469513 0.55491652012206
330 0.40298507462686567 0.44151618413803984 0.55491652012206
332 0.4117647058823529 0.43704898280881677 0.55491652012206
344 0.42028985507246375 0.43272493291213965 0.55491652012206
