# parameters:
#   num_nodes=4, num_iters=10, ntest=10
# columns:
#   fidelity    psuccess    failure_rate
0.8 0.00656 0.2975
0.8040816326530613 0.026834285714285713 0.2899999999999999
0.8081632653061225 0.04710857142857143 0.285
0.8122448979591838 0.06738285714285713 0.295
0.8163265306122449 0.08765714285714285 0.335
0.8204081632653062 0.10793142857142857 0.265
0.8244897959183674 0.12820571428571428 0.29250000000000004
0.8285714285714286 0.14848 0.29000000000000004
0.8326530612244898 0.16875428571428572 0.28
0.8367346938775511 0.18902857142857143 0.265
0.8408163265306123 0.20930285714285715 0.2924999999999999
0.8448979591836735 0.22957714285714287 0.2475
0.8489795918367348 0.24985142857142856 0.2575
0.8530612244897959 0.2701257142857143 0.27999999999999997
0.8571428571428572 0.2904 0.24
0.8612244897959184 0.31067428571428574 0.27
0.8653061224489796 0.3309485714285714 0.21750000000000003
0.8693877551020408 0.3512228571428571 0.215
0.8734693877551021 0.37149714285714286 0.1975
0.8775510204081634 0.39177142857142855 0.195
0.8816326530612245 0.4120457142857143 0.1975
0.8857142857142858 0.43232 0.205
0.889795918367347 0.4525942857142857 0.215
0.8938775510204082 0.4728685714285714 0.20249999999999999
0.8979591836734694 0.4931428571428571 0.17750000000000002
0.9020408163265307 0.5134171428571428 0.19
0.9061224489795918 0.5336914285714286 0.125
0.9102040816326531 0.5539657142857143 0.14250000000000002
0.9142857142857144 0.57424 0.15250000000000002
0.9183673469387755 0.5945142857142857 0.155
0.9224489795918368 0.6147885714285715 0.16749999999999998
0.926530612244898 0.6350628571428572 0.185
0.9306122448979592 0.6553371428571428 0.12500000000000003
0.9346938775510204 0.6756114285714285 0.1375
0.9387755102040817 0.6958857142857142 0.13
0.9428571428571428 0.71616 0.1275
0.9469387755102041 0.7364342857142857 0.10999999999999999
0.9510204081632654 0.7567085714285714 0.12250000000000001
0.9551020408163265 0.7769828571428571 0.11750000000000002
0.9591836734693878 0.7972571428571429 0.07500000000000001
0.963265306122449 0.8175314285714286 0.10250000000000001
0.9673469387755103 0.8378057142857143 0.075
0.9714285714285714 0.85808 0.052500000000000005
0.9755102040816327 0.8783542857142856 0.06
0.9795918367346939 0.8986285714285714 0.05750000000000001
0.9836734693877551 0.9189028571428571 0.037500000000000006
0.9877551020408164 0.9391771428571428 0.05
0.9918367346938776 0.9594514285714285 0.04
0.9959183673469387 0.9797257142857142 0.02
1.0 1.0 0.0225
