# parameters:
#   num_nodes=4, num_iters=10, ntest=10
# columns:
#   fidelity    failure_rate
0.8 0.35250000000000004
0.8040816326530613 0.345
0.8081632653061225 0.29500000000000004
0.8122448979591838 0.33249999999999996
0.8163265306122449 0.29250000000000004
0.8204081632653062 0.2775
0.8244897959183674 0.2825
0.8285714285714286 0.285
0.8326530612244898 0.3
0.8367346938775511 0.28500000000000003
0.8408163265306123 0.255
0.8448979591836735 0.23500000000000001
0.8489795918367348 0.225
0.8530612244897959 0.24499999999999997
0.8571428571428572 0.2475
0.8612244897959184 0.225
0.8653061224489796 0.215
0.8693877551020408 0.22500000000000003
0.8734693877551021 0.2425
0.8775510204081634 0.2125
0.8816326530612245 0.27749999999999997
0.8857142857142858 0.24
0.889795918367347 0.2125
0.8938775510204082 0.175
0.8979591836734694 0.15499999999999997
0.9020408163265307 0.19
0.9061224489795918 0.16
0.9102040816326531 0.19
0.9142857142857144 0.1875
0.9183673469387755 0.145
0.9224489795918368 0.15999999999999998
0.926530612244898 0.14500000000000002
0.9306122448979592 0.10999999999999999
0.9346938775510204 0.10250000000000001
0.9387755102040817 0.13000000000000003
0.9428571428571428 0.1275
0.9469387755102041 0.11499999999999999
0.9510204081632654 0.10250000000000001
0.9551020408163265 0.12
0.9591836734693878 0.10750000000000001
0.963265306122449 0.0875
0.9673469387755103 0.085
0.9714285714285714 0.09000000000000001
0.9755102040816327 0.05750000000000001
0.9795918367346939 0.05750000000000001
0.9836734693877551 0.0625
0.9877551020408164 0.04
0.9918367346938776 0.025
0.9959183673469387 0.04
1.0 0.017499999999999998
