# parameters:
#   num_nodes=4, num_iters=10, ntest=10
# columns:
#   psuccess    failure_rate
0.00656 0.32249999999999995
0.026834285714285713 0.305
0.04710857142857143 0.29250000000000004
0.06738285714285713 0.3275
0.08765714285714285 0.3525
0.10793142857142857 0.3075
0.12820571428571428 0.3
0.14848 0.31
0.16875428571428572 0.29
0.18902857142857143 0.32
0.20930285714285715 0.32500000000000007
0.22957714285714287 0.2975
0.24985142857142856 0.31250000000000006
0.2701257142857143 0.34249999999999997
0.2904 0.3175
0.31067428571428574 0.27749999999999997
0.3309485714285714 0.28750000000000003
0.3512228571428571 0.33499999999999996
0.37149714285714286 0.30500000000000005
0.39177142857142855 0.33
0.4120457142857143 0.27749999999999997
0.43232 0.34500000000000003
0.4525942857142857 0.32999999999999996
0.4728685714285714 0.32250000000000006
0.4931428571428571 0.2975
0.5134171428571428 0.29750000000000004
0.5336914285714286 0.35750000000000004
0.5539657142857143 0.335
0.57424 0.33249999999999996
0.5945142857142857 0.2975
0.6147885714285715 0.28750000000000003
0.6350628571428572 0.3275
0.6553371428571428 0.30250000000000005
0.6756114285714285 0.29500000000000004
0.6958857142857142 0.29250000000000004
0.71616 0.2975
0.7364342857142857 0.30500000000000005
0.7567085714285714 0.38499999999999995
0.7769828571428571 0.3175
0.7972571428571429 0.265
0.8175314285714286 0.305
0.8378057142857143 0.265
0.85808 0.3125
0.8783542857142856 0.28
0.8986285714285714 0.3275
0.9189028571428571 0.31250000000000006
0.9391771428571428 0.29999999999999993
0.9594514285714285 0.3175
0.9797257142857142 0.3025
1.0 0.29000000000000004
