# parameters:
#  num_nodes=4, ntest=3, state=ghz
# columns:
#  eta   amp_dam_fidelity    phase_dam_fidelity    dep_noise_fidelity    deph_noise_fidelity
0.0 0.9999999999999978 0.9999999999999978 0.9999999999999978 0.9999999999999978
0.010101010101010102 0.9898990016476263 0.9949623134076575 0.9849250076522782 0.9802060589365289
0.020202020202020204 0.979798168296914 0.9899505243233622 0.9700030609121506 0.9612277529500566
0.030303030303030304 0.9696979262282979 0.9849650280693931 0.9552341597796139 0.9430634574410239
0.04040404040404041 0.959598988612767 0.9800062259171847 0.9406183042546663 0.9257103496540355
0.05050505050505051 0.9495023559473308 0.9750745251303643 0.9261554943373118 0.9091643141982284
0.06060606060606061 0.9394093146949319 0.9701703390049761 0.9118457300275473 0.8934198547529053
0.07070707070707072 0.92932143411365 0.9652940869066349 0.8976890113253737 0.8784700142989796
0.08080808080808081 0.9192405612835702 0.960446194304428 0.8836853382307914 0.8643063062585016
0.09090909090909091 0.9091688143636512 0.9556270928013003 0.8698347107438003 0.850918658881393
0.10101010101010102 0.8991085741349389 0.9508372201607024 0.8561371288644009 0.8382953750814428
0.11111111111111112 0.8890624739099642 0.9460770203292441 0.8425925925925921 0.8264231096878778
0.12121212121212122 0.8790333879106279 0.9413469434550936 0.8292011019283733 0.8152868657460461
0.13131313131313133 0.8690244182378968 0.9366474459018692 0.8159626568717462 0.8048700110783549
0.14141414141414144 0.8590388805756447 0.9319789902577236 0.8028772574227099 0.7951543158191972
0.15151515151515152 0.8490802887876717 0.9273420453393542 0.7899449035812657 0.7861200110853923
0.16161616161616163 0.839152338580897 0.9227370861906476 0.7771655953474121 0.7777458683621385
0.17171717171717174 0.8292588904186988 0.9181645940756475 0.7645393327211497 0.7700092986019818
0.18181818181818182 0.8194039518761671 0.9136250564655344 0.7520661157024777 0.762886469480601
0.19191919191919193 0.8095916596334879 0.9091189670193136 0.7397459442913973 0.7563524387564984
0.20202020202020204 0.7998262613048093 0.9046468255578735 0.7275788184879077 0.7503813012668485
0.21212121212121213 0.7901120972977483 0.9002091380310867 0.7155647382920098 0.7449463467781869
0.22222222222222224 0.7804535828933221 0.8958064164776147 0.7037037037037019 0.7400202257108981
0.23232323232323235 0.770855190727751 0.8914391789770759 0.6919957147229872 0.7355751196755747
0.24242424242424243 0.7613214338465477 0.8871079495942079 0.6804407713498613 0.7315829137948131
0.25252525252525254 0.751856849487816 0.8828132583146997 0.6690388735843265 0.728015367926647
0.26262626262626265 0.7424659837362526 0.8785556409723027 0.6577900214263843 0.7248442841405667
0.27272727272727276 0.7331533771721839 0.8743356391668775 0.6466942148760315 0.7220416681052118
0.2828282828282829 0.7239235516216241 0.8701538001730004 0.6357514539332716 0.7195798824072159
0.29292929292929293 0.7147809980941355 0.8660106768387634 0.6249617385981011 0.7174317902117986
0.30303030303030304 0.7057301659756435 0.8619068274744164 0.6143250688705224 0.7155708880770533
0.31313131313131315 0.6967754535236821 0.8578428157304551 0.6038414447505345 0.7139714271272739
0.32323232323232326 0.68792119969314 0.8538192104648135 0.5935108662381379 0.7126085221608351
0.33333333333333337 0.6791716773018502 0.8498365855987966 0.5833333333333324 0.7114582486036491
0.3434343434343435 0.6705310875274482 0.8458955199613866 0.5733088460361175 0.7104977275118567
0.3535353535353536 0.6620035557102242 0.841996597121585 0.5634374043464949 0.7097051990727882
0.36363636363636365 0.6535931284212521 0.8381404052084436 0.5537190082644622 0.7090600852496404
0.37373737373737376 0.6453037717410969 0.8343275367184517 0.544153657790021 0.7085430423638328
0.38383838383838387 0.6371393706820336 0.8305585883099671 0.5347413529231703 0.7081360045123924
0.393939393939394 0.6291037296758805 0.8268341605843779 0.5254820936639109 0.7078222187802304
0.4040404040404041 0.6212005740404126 0.8231548578537097 0.5163758800122433 0.7075862732337772
0.4141414141414142 0.6134335523297731 0.8195212878944083 0.5074227119681657 0.707414118678469
0.42424242424242425 0.6058062394683567 0.815934061687045 0.4986225895316798 0.7072930851334057
0.43434343434343436 0.5983221405631716 0.8123937931417182 0.4899755127027847 0.7072118939270554
0.4444444444444445 0.5909846952866935 0.8089010988089456 0.4814814814814807 0.7071606662528233
0.4545454545454546 0.5837972827205323 0.8054565975758778 0.4731404958677677 0.7071309289465186
0.4646464646464647 0.5767632265497844 0.8020609103476888 0.46495255586164597 0.7071156181625247
0.4747474747474748 0.5698858004986338 0.7987146597140157 0.45691766146311596 0.7071090815345331
0.48484848484848486 0.5631682338994314 0.7954184696004043 0.4490358126721755 0.7071070793120675
0.494949494949495 0.5566137172901237 0.7921729649046878 0.4413070094888274 0.7071067848671091
0.5050505050505051 0.5502254079382901 0.7889787711183227 0.43373125191307005 0.7071067848671092
0.5151515151515152 0.5440064351942282 0.7858365139327227 0.4263085399449025 0.7071070793120675
0.5252525252525253 0.5379599055803025 0.7827468188306806 0.4190388735843272 0.7071090815345322
0.5353535353535354 0.5320889075291694 0.7797103106630229 0.4119222528313428 0.7071156181625243
0.5454545454545455 0.5263965156893566 0.7767276132106838 0.4049586776859495 0.7071309289465193
0.5555555555555556 0.5208857947230756 0.77379934873245 0.39814814814814736 0.7071606662528229
0.5656565656565657 0.5155598025278938 0.7709261374986732 0.39149066421793666 0.7072118939270559
0.5757575757575758 0.5104215928211265 0.7681085973113069 0.3849862258953161 0.7072930851334062
0.5858585858585859 0.5054742170333228 0.7653473430106905 0.3786348331802873 0.7074141186784686
0.595959595959596 0.5007207254651583 0.7626429859695588 0.3724364860728488 0.7075862732337767
