# parameters:
#  num_nodes=4, ntest=3, state=ghz
# columns:
#  eta   amp_dam_epsilon    phase_dam_epsilon    dep_noise_epsilon    deph_noise_epsilon
0.0 0.0 0.0 0.0 0.0
0.05263157894736842 0.0 0.0 3.1516375431658405e-18 0.0
0.10526315789473684 0.0 0.0 7.998743879159172e-18 0.0
0.15789473684210525 0.0 0.0 1.6465473461676344e-17 0.0
0.21052631578947367 0.0 0.0 1.6781416751002198e-17 0.0
0.2631578947368421 0.0 0.0 5.854691731421724e-18 0.0
0.3157894736842105 0.0 0.0 2.1860226302738983e-17 0.0
0.3684210526315789 0.0 0.0 4.228388472693467e-18 0.0
0.42105263157894735 0.0 0.0 1.3173056395698879e-17 0.0
0.47368421052631576 0.0 0.0 1.5178830414797062e-17 0.0
0.5263157894736842 0.0 0.0 6.938893903907228e-18 0.0
0.5789473684210527 0.0 0.0 8.673617379884035e-18 0.0
0.631578947368421 0.0 0.0 5.854691731421724e-18 0.0
0.6842105263157894 0.0 0.0 3.903127820947816e-18 0.0
0.7368421052631579 0.0 0.0 3.469446951953614e-18 0.0
0.7894736842105263 0.0 0.0 8.673617379884035e-19 0.0
0.8421052631578947 0.0 0.0 5.204170427930421e-18 0.0
0.894736842105263 0.0 0.0 1.734723475976807e-18 0.0
0.9473684210526315 0.0 0.0 0.0 0.0
1.0 0.0 0.0 0.0 0.0
