WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 44: IZZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 113: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 73: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 36: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 98: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 150: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 33: IIZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 142: -XXYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 101: ZIIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 112: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 14: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 89: YYYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 155: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 10: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 137: -XXYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 128: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 130: -YXYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 55: IZZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 119: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 96: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 110: IIZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 17: IZZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 129: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 117: -XXYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 53: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 133: ZIIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 32: IIII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 114: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 108: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 82: -XXYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 76: IIII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 13: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 11: -YXYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 35: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 8: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 46: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 116: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 147: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 99: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 127: YYYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 40: -XXYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 70: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 140: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 134: ZIIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 148: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 124: -XYXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 18: ZZII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 77: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 37: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 25: -XXYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 115: ZIIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 28: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 5: ZZII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 106: -YXXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 71: ZIIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 42: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 135: IIII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 157: IIII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 120: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 104: IIZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 45: ZZZZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 118: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 48: -YXYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 29: -YYXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 139: ZZII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 154: -XYYX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 146: -XXYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 87: YYYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 111: IIII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 38: YYYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 125: YYYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 9: ZIZI
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 39: -XXYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 105: -YXXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 20: -YYXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 100: YYYY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 47: XXXX
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 88: -YXXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 102: -YXXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 103: -YXXY
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 156: IZIZ
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 58: IIII
WARNING:0.0 ns:Stack.Node_1_Verifier:Copy 78: XXXX
WARNING:1098300000.0 ns:Stack.Node_1_Verifier:Copy: 0, qubit action: measure
WARNING:1098300000.0 ns:Stack.Node_1_Verifier:Measurement: ['X', 'Y', 'Y', 'X']
WARNING:1098300000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in X basis
WARNING:1360200000.0 ns:Stack.Node_2_Member:Copy: 0, Received qubit action: measure
WARNING:1360200000.0 ns:Stack.Node_2_Member:Node_2 will measure in Y basis
WARNING:1626200000.0 ns:Stack.Node_3_Member:Copy: 0, Received qubit action: measure
WARNING:1626200000.0 ns:Stack.Node_3_Member:Node_3 will measure in Y basis
WARNING:1628715000.0 ns:Stack.Node_4_Member:Copy: 0, Received qubit action: measure
WARNING:1628715000.0 ns:Stack.Node_4_Member:Node_4 will measure in X basis
WARNING:1740380000.0 ns:Stack.Node_1_Verifier:Copy: 1, qubit action: measure
WARNING:1740380000.0 ns:Stack.Node_1_Verifier:Measurement: ['Z', 'I', 'I', 'Z']
WARNING:1740380000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in Z basis
WARNING:1972130000.0 ns:Stack.Node_2_Member:Copy: 1, Received qubit action: measure
WARNING:1972130000.0 ns:Stack.Node_2_Member:Node_2 will measure in I basis
WARNING:2525695000.0 ns:Stack.Node_3_Member:Copy: 1, Received qubit action: measure
WARNING:2525695000.0 ns:Stack.Node_3_Member:Node_3 will measure in I basis
WARNING:2526195000.0 ns:Stack.Node_4_Member:Copy: 1, Received qubit action: measure
WARNING:2526195000.0 ns:Stack.Node_4_Member:Node_4 will measure in Z basis
WARNING:2721095000.0 ns:Stack.Node_1_Verifier:Copy: 2, qubit action: measure
