# parameters:
#  num_nodes=4, num_iters=1000, ntest=10, state=ghz
# columns:
#  sensing_iteration   running_frequency   running_estimation   average_phase
13 0.0 2.356194490192345 1.8532156756912557
62 0.5 1.9634954084936207 1.8532156756912557
119 0.6666666666666666 1.8785361811300902 1.8532156756912557
183 0.5 1.9634954084936207 1.8532156756912557
222 0.4 2.0138348886912034 1.8532156756912557
274 0.3333333333333333 2.0484546358571514 1.8532156756912557
305 0.42857142857142855 1.9993323007199622 1.8532156756912557
317 0.375 2.0266654722791406 1.8532156756912557
334 0.3333333333333333 2.0484546358571514 1.8532156756912557
366 0.3 2.066374620010493 1.8532156756912557
378 0.2727272727272727 2.081460867813531 1.8532156756912557
389 0.25 2.0943951023931957 1.8532156756912557
420 0.3076923076923077 2.062193188418561 1.8532156756912557
428 0.35714285714285715 2.0359333338526326 1.8532156756912557
692 0.4 2.0138348886912034 1.8532156756912557
725 0.375 2.0266654722791406 1.8532156756912557
809 0.4117647058823529 2.0078453096037134 1.8532156756912557
900 0.4444444444444444 1.9913306620788618 1.8532156756912557
994 0.42105263157894735 2.003134978653046 1.8532156756912557
