# parameters:
#  num_nodes=4, num_iters=1000, ntest=10, state=ghz
# columns:
#  sensing_iteration   running_frequency   running_estimation   average_phase
16 0.0 0.7853981633974483 1.0501916347269085
25 0.0 0.7853981633974483 1.0501916347269085
57 0.0 0.7853981633974483 1.0501916347269085
60 0.0 0.7853981633974483 1.0501916347269085
149 0.0 0.7853981633974483 1.0501916347269085
289 0.0 0.7853981633974483 1.0501916347269085
308 0.14285714285714285 0.9791965067250386 1.0501916347269085
325 0.125 0.9660817253508022 1.0501916347269085
399 0.1111111111111111 0.9553166181245092 1.0501916347269085
509 0.1 0.9462734405957693 1.0501916347269085
540 0.09090909090909091 0.938536847982283 1.0501916347269085
577 0.16666666666666666 0.9956653310394308 1.0501916347269085
581 0.15384615384615385 0.9869267006305049 1.0501916347269085
607 0.14285714285714285 0.9791965067250386 1.0501916347269085
680 0.13333333333333333 0.9722942508147034 1.0501916347269085
694 0.125 0.9660817253508022 1.0501916347269085
726 0.11764705882352941 0.960451052281021 1.0501916347269085
864 0.1111111111111111 0.9553166181245092 1.0501916347269085
884 0.15789473684210525 0.9897170909462445 1.0501916347269085
905 0.15 0.9842478709434842 1.0501916347269085
922 0.19047619047619047 1.0112148839372141 1.0501916347269085
924 0.22727272727272727 1.0338644087870583 1.0501916347269085
925 0.21739130434782608 1.0279230568621895 1.0501916347269085
942 0.25 1.0471975511965976 1.0501916347269085
