# parameters:
#     num_nodes=4, num_iters=250, dishonest_node=Node_4, bitflip_nodes=[Node_2, Node_3]
# phases={'Node_1': 0.8231680849117639, 'Node_2': 1.1703269460517074, 'Node_3': 1.8143629160944648, 'Node_4': 1.7886801285943263}
# phase_average = 1.3991345189130655
# alt_function1 = 3.2558841835488472
# alt_function2 = 1.9678122434633325
# columns:
#      iteration   running_est0   running_est1   running_est2
1 1.5707963267948966 3.141592653589793 3.141592653589793
2 1.5707963267948966 3.141592653589793 3.141592653589793
3 1.5707963267948966 3.141592653589793 3.141592653589793
4 1.5707963267948966 3.141592653589793 3.141592653589793
5 1.5707963267948966 3.141592653589793 3.141592653589793
6 1.5707963267948966 3.141592653589793 3.141592653589793
7 1.5707963267948966 3.141592653589793 3.141592653589793
8 1.5707963267948966 3.141592653589793 3.141592653589793
9 1.5707963267948966 3.141592653589793 3.141592653589793
10 1.5707963267948966 3.141592653589793 3.141592653589793
11 1.5707963267948966 3.141592653589793 3.141592653589793
12 1.5707963267948966 3.141592653589793 3.141592653589793
13 1.5707963267948966 3.141592653589793 3.141592653589793
14 1.5707963267948966 3.141592653589793 2.4188584057763776
15 1.5707963267948966 3.141592653589793 2.4188584057763776
16 1.5707963267948966 3.141592653589793 2.1598272970111707
17 1.5707963267948966 3.141592653589793 2.214297435588181
18 1.5707963267948966 3.141592653589793 2.214297435588181
19 1.5707963267948966 3.141592653589793 2.214297435588181
20 1.2630564724597029 3.141592653589793 2.214297435588181
21 1.2630564724597029 3.141592653589793 2.2605713275803963
22 1.2630564724597029 3.141592653589793 2.300523983021863
23 1.2630564724597029 3.141592653589793 2.300523983021863
24 1.308996938995747 3.141592653589793 2.300523983021863
25 1.3389725222944935 3.141592653589793 2.300523983021863
26 1.3389725222944935 3.141592653589793 2.3354785046575666
27 1.360529159152914 3.141592653589793 2.3354785046575666
28 1.360529159152914 3.141592653589793 2.366399280279432
29 1.360529159152914 3.141592653589793 2.3940083039207725
30 1.360529159152914 3.141592653589793 2.3940083039207725
31 1.3769979834673063 3.141592653589793 2.3940083039207725
32 1.3769979834673063 3.141592653589793 2.4188584057763776
33 1.3901127648415426 3.141592653589793 2.4188584057763776
34 1.3901127648415426 3.141592653589793 2.4188584057763776
35 1.3901127648415426 3.141592653589793 2.441381098055502
36 1.3901127648415426 3.141592653589793 2.441381098055502
37 1.3901127648415426 3.141592653589793 2.300523983021863
38 1.4008778720678356 3.141592653589793 2.300523983021863
39 1.4099210495965755 3.141592653589793 2.300523983021863
40 1.4099210495965755 3.141592653589793 2.1882334304102526
41 1.4099210495965755 3.141592653589793 2.214297435588181
42 1.4099210495965755 3.141592653589793 2.214297435588181
43 1.4099210495965755 3.141592653589793 2.2383257714307296
44 1.4099210495965755 3.141592653589793 2.2383257714307296
45 1.4176576422100617 3.141592653589793 2.2383257714307296
46 1.4176576422100617 3.141592653589793 2.2383257714307296
47 1.4243749409306088 3.141592653589793 2.2383257714307296
48 1.4243749409306088 3.141592653589793 2.2605713275803963
