# parameters:
#  num_nodes=4, ntest=3, state=ghz
# columns:
#  simulation_iterations   plus_outcome_rate   estimation   average_phase
100 0.01 0.6420198872916741 0.6130670425277588
150 0.02 0.5796397403637042 0.6130670425277588
200 0.025 0.5535743588970452 0.6130670425277588
250 0.02 0.5796397403637042 0.6130670425277588
300 0.01 0.6420198872916741 0.6130670425277588
350 0.014285714285714285 0.6129698749047953 0.6130670425277588
400 0.0225 0.5663236481053632 0.6130670425277588
450 0.02 0.5796397403637042 0.6130670425277588
500 0.006 0.6749578073599336 0.6130670425277588
