# parameters:
#  num_nodes=4, num_iters=1000, ntest=3, state=ghz
# columns:
#  iteration   running_frequency   running_estimation   average_phase
1 0.0 0.7853981633974483 0.6928267366088495
2 0.0 0.7853981633974483 0.6928267366088495
3 0.0 0.7853981633974483 0.6928267366088495
4 0.0 0.7853981633974483 0.6928267366088495
5 0.0 0.7853981633974483 0.6928267366088495
6 0.0 0.7853981633974483 0.6928267366088495
7 0.0 0.7853981633974483 0.6928267366088495
8 0.0 0.7853981633974483 0.6928267366088495
9 0.0 0.7853981633974483 0.6928267366088495
10 0.0 0.7853981633974483 0.6928267366088495
11 0.0 0.7853981633974483 0.6928267366088495
12 0.0 0.7853981633974483 0.6928267366088495
13 0.0 0.7853981633974483 0.6928267366088495
14 0.0 0.7853981633974483 0.6928267366088495
15 0.0 0.7853981633974483 0.6928267366088495
16 0.0 0.7853981633974483 0.6928267366088495
17 0.0 0.7853981633974483 0.6928267366088495
18 0.0 0.7853981633974483 0.6928267366088495
19 0.0 0.7853981633974483 0.6928267366088495
20 0.0 0.7853981633974483 0.6928267366088495
21 0.0 0.7853981633974483 0.6928267366088495
22 0.0 0.7853981633974483 0.6928267366088495
23 0.0 0.7853981633974483 0.6928267366088495
24 0.0 0.7853981633974483 0.6928267366088495
25 0.0 0.7853981633974483 0.6928267366088495
26 0.0 0.7853981633974483 0.6928267366088495
27 0.0 0.7853981633974483 0.6928267366088495
28 0.0 0.7853981633974483 0.6928267366088495
29 0.0 0.7853981633974483 0.6928267366088495
30 0.0 0.7853981633974483 0.6928267366088495
31 0.0 0.7853981633974483 0.6928267366088495
32 0.0 0.7853981633974483 0.6928267366088495
33 0.0 0.7853981633974483 0.6928267366088495
34 0.0 0.7853981633974483 0.6928267366088495
35 0.0 0.7853981633974483 0.6928267366088495
36 0.0 0.7853981633974483 0.6928267366088495
37 0.0 0.7853981633974483 0.6928267366088495
38 0.02631578947368421 0.7039274240921887 0.6928267366088495
39 0.02564102564102564 0.704987923060216 0.6928267366088495
40 0.025 0.706008056074568 0.6928267366088495
41 0.024390243902439025 0.7069903207252479 0.6928267366088495
42 0.023809523809523808 0.7079370034620415 0.6928267366088495
43 0.023255813953488372 0.708850202004021 0.6928267366088495
44 0.022727272727272728 0.7097318449088404 0.6928267366088495
45 0.022222222222222223 0.7105837087176896 0.6928267366088495
46 0.021739130434782608 0.7114074330230564 0.6928267366088495
47 0.02127659574468085 0.7122045337503238 0.6928267366088495
48 0.020833333333333332 0.7129764148981684 0.6928267366088495
49 0.02040816326530612 0.7137243789447656 0.6928267366088495
50 0.02 0.7144496360953663 0.6928267366088495
51 0.0196078431372549 0.7151533125206881 0.6928267366088495
52 0.019230769230769232 0.715836457713749 0.6928267366088495
53 0.018867924528301886 0.7165000510745058 0.6928267366088495
54 0.018518518518518517 0.7171450078162958 0.6928267366088495
55 0.01818181818181818 0.7177721842751206 0.6928267366088495
56 0.017857142857142856 0.7183823826918388 0.6928267366088495
57 0.017543859649122806 0.7189763555280156 0.6928267366088495
58 0.017241379310344827 0.7195548093682402 0.6928267366088495
59 0.01694915254237288 0.7201184084549377 0.6928267366088495
60 0.016666666666666666 0.720667777895893 0.6928267366088495
61 0.01639344262295082 0.7212035065797074 0.6928267366088495
62 0.016129032258064516 0.7217261498301073 0.6928267366088495
63 0.015873015873015872 0.7222362318263075 0.6928267366088495
64 0.015625 0.7227342478134157 0.6928267366088495
65 0.015384615384615385 0.7232206661240675 0.6928267366088495
66 0.015151515151515152 0.7236959300300552 0.6928267366088495
67 0.014925373134328358 0.7241604594405884 0.6928267366088495
68 0.014705882352941176 0.7246146524619836 0.6928267366088495
69 0.014492753623188406 0.7250588868319434 0.6928267366088495
70 0.014285714285714285 0.7254935212401762 0.6928267366088495
71 0.014084507042253521 0.7259188965458474 0.6928267366088495
72 0.013888888888888888 0.7263353369012557 0.6928267366088495
73 0.0136986301369863 0.7267431507901517 0.6928267366088495
74 0.013513513513513514 0.7271426319882589 0.6928267366088495
75 0.013333333333333334 0.727534060452792 0.6928267366088495
76 0.013157894736842105 0.7279177031470951 0.6928267366088495
77 0.012987012987012988 0.7282938148059181 0.6928267366088495
78 0.01282051282051282 0.7286626386463165 0.6928267366088495
79 0.012658227848101266 0.7290244070286832 0.6928267366088495
80 0.0125 0.7293793420719935 0.6928267366088495
81 0.012345679012345678 0.7297276562269663 0.6928267366088495
82 0.012195121951219513 0.7300695528105005 0.6928267366088495
83 0.012048192771084338 0.7304052265044411 0.6928267366088495
84 0.011904761904761904 0.7307348638214561 0.6928267366088495
85 0.011764705882352941 0.7310586435405574 0.6928267366088495
86 0.011627906976744186 0.7313767371145716 0.6928267366088495
87 0.022988505747126436 0.7092948535003188 0.6928267366088495
88 0.022727272727272728 0.7097318449088404 0.6928267366088495
89 0.02247191011235955 0.7101613936797183 0.6928267366088495
90 0.022222222222222223 0.7105837087176896 0.6928267366088495
91 0.02197802197802198 0.7109989908090902 0.6928267366088495
92 0.021739130434782608 0.7114074330230564 0.6928267366088495
93 0.021505376344086023 0.7118092210887563 0.6928267366088495
94 0.02127659574468085 0.7122045337503238 0.6928267366088495
95 0.021052631578947368 0.7125935431010384 0.6928267366088495
96 0.020833333333333332 0.7129764148981684 0.6928267366088495
97 0.020618556701030927 0.7133533088597867 0.6928267366088495
98 0.02040816326530612 0.7137243789447656 0.6928267366088495
99 0.020202020202020204 0.7140897736170688 0.6928267366088495
100 0.02 0.7144496360953663 0.6928267366088495
101 0.019801980198019802 0.7148041045889296 0.6928267366088495
