# parameters:
#  num_nodes=4, num_iters=1000, ntest=3, state=ghz
# columns:
#  iteration   running_frequency   running_estimation   average_phase
1 0.0 0.7853981633974483 0.6401054565452874
2 0.0 0.7853981633974483 0.6401054565452874
3 0.0 0.7853981633974483 0.6401054565452874
4 0.0 0.7853981633974483 0.6401054565452874
5 0.0 0.7853981633974483 0.6401054565452874
6 0.0 0.7853981633974483 0.6401054565452874
7 0.0 0.7853981633974483 0.6401054565452874
8 0.125 0.0 0.6401054565452874
9 0.1111111111111111 0.16991845472706102 0.6401054565452874
10 0.1 0.23182380450040302 0.6401054565452874
11 0.09090909090909091 0.27473362237881366 0.6401054565452874
12 0.08333333333333333 0.3077398543351937 0.6401054565452874
13 0.07692307692307693 0.33448203713420355 0.6401054565452874
14 0.07142857142857142 0.35686218947238285 0.6401054565452874
15 0.06666666666666667 0.37602004459616784 0.6401054565452874
16 0.0625 0.39269908169872414 0.6401054565452874
17 0.058823529411764705 0.40741345818549446 0.6401054565452874
18 0.05555555555555555 0.42053433528396517 0.6401054565452874
19 0.05263157894736842 0.4323386518581491 0.6401054565452874
20 0.05 0.44303856189630686 0.6401054565452874
21 0.047619047619047616 0.452800135891039 0.6401054565452874
22 0.045454545454545456 0.46175573938962206 0.6401054565452874
23 0.043478260869565216 0.47001250698060426 0.6401054565452874
24 0.041666666666666664 0.47765830906225465 0.6401054565452874
25 0.04 0.48476605505788417 0.6401054565452874
26 0.038461538461538464 0.4913968616236645 0.6401054565452874
27 0.037037037037037035 0.49760242759118517 0.6401054565452874
28 0.03571428571428571 0.5034268427171339 0.6401054565452874
29 0.034482758620689655 0.5089079847605753 0.6401054565452874
30 0.03333333333333333 0.514078612272622 0.6401054565452874
31 0.03225806451612903 0.5189672291351908 0.6401054565452874
32 0.03125 0.5235987755982989 0.6401054565452874
33 0.030303030303030304 0.5279951858375429 0.6401054565452874
34 0.029411764705882353 0.5321758416906981 0.6401054565452874
35 0.02857142857142857 0.5361579448287318 0.6401054565452874
36 0.027777777777777776 0.5399568242527927 0.6401054565452874
37 0.02702702702702703 0.5435861920729678 0.6401054565452874
38 0.02631578947368421 0.5470583576025632 0.6401054565452874
39 0.02564102564102564 0.5503844076086379 0.6401054565452874
40 0.025 0.5535743588970452 0.6401054565452874
41 0.024390243902439025 0.5566372881381657 0.6401054565452874
42 0.023809523809523808 0.5595814428576824 0.6401054565452874
43 0.023255813953488372 0.5624143367527734 0.6401054565452874
44 0.022727272727272728 0.5651428318950991 0.6401054565452874
45 0.022222222222222223 0.5677732099089656 0.6401054565452874
46 0.021739130434782608 0.5703112338370292 0.6401054565452874
47 0.02127659574468085 0.5727622021050938 0.6401054565452874
48 0.020833333333333332 0.5751309957554658 0.6401054565452874
49 0.02040816326530612 0.5774221199223946 0.6401054565452874
50 0.02 0.5796397403637042 0.6401054565452874
51 0.0196078431372549 0.5817877157323377 0.6401054565452874
52 0.019230769230769232 0.5838696261643916 0.6401054565452874
53 0.018867924528301886 0.5858887986717722 0.6401054565452874
54 0.018518518518518517 0.5878483297542535 0.6401054565452874
55 0.01818181818181818 0.5897511055846624 0.6401054565452874
56 0.017857142857142856 0.591599820069858 0.6401054565452874
57 0.017543859649122806 0.5933969910473438 0.6401054565452874
58 0.017241379310344827 0.5951449748412658 0.6401054565452874
59 0.03389830508474576 0.5115302404561651 0.6401054565452874
60 0.03333333333333333 0.514078612272622 0.6401054565452874
61 0.03278688524590164 0.5165565368508452 0.6401054565452874
62 0.03225806451612903 0.5189672291351908 0.6401054565452874
63 0.031746031746031744 0.5213137005890208 0.6401054565452874
64 0.03125 0.5235987755982989 0.6401054565452874
65 0.03076923076923077 0.5258251062741868 0.6401054565452874
66 0.030303030303030304 0.5279951858375429 0.6401054565452874
67 0.029850746268656716 0.5301113607443463 0.6401054565452874
68 0.029411764705882353 0.5321758416906981 0.6401054565452874
69 0.028985507246376812 0.5341907136186002 0.6401054565452874
70 0.02857142857142857 0.5361579448287318 0.6401054565452874
71 0.028169014084507043 0.5380793952935369 0.6401054565452874
72 0.027777777777777776 0.5399568242527927 0.6401054565452874
73 0.0273972602739726 0.5417918971641755 0.6401054565452874
74 0.02702702702702703 0.5435861920729678 0.6401054565452874
75 0.02666666666666667 0.5453412054577489 0.6401054565452874
76 0.02631578947368421 0.5470583576025632 0.6401054565452874
77 0.025974025974025976 0.5487389975404852 0.6401054565452874
78 0.02564102564102564 0.5503844076086379 0.6401054565452874
79 0.02531645569620253 0.5519958076504339 0.6401054565452874
80 0.025 0.5535743588970452 0.6401054565452874
81 0.024691358024691357 0.5551211675567871 0.6401054565452874
82 0.024390243902439025 0.5566372881381657 0.6401054565452874
83 0.024096385542168676 0.5581237265297448 0.6401054565452874
84 0.023809523809523808 0.5595814428576824 0.6401054565452874
85 0.023529411764705882 0.561011354139743 0.6401054565452874
86 0.023255813953488372 0.5624143367527734 0.6401054565452874
87 0.022988505747126436 0.5637912287290049 0.6401054565452874
88 0.022727272727272728 0.5651428318950991 0.6401054565452874
89 0.02247191011235955 0.5664699138665585 0.6401054565452874
90 0.022222222222222223 0.5677732099089656 0.6401054565452874
91 0.02197802197802198 0.5690534246764722 0.6401054565452874
92 0.021739130434782608 0.5703112338370292 0.6401054565452874
93 0.021505376344086023 0.5715472855930059 0.6401054565452874
94 0.02127659574468085 0.5727622021050938 0.6401054565452874
95 0.021052631578947368 0.5739565808267056 0.6401054565452874
96 0.020833333333333332 0.5751309957554658 0.6401054565452874
97 0.020618556701030927 0.5762859986078338 0.6401054565452874
