# parameters:
#     num_nodes=4, num_iters=400, num_dishonest=1, dishonest_action=2
# dishonest_nodes=['Node_4']
# phases={'Node_1': 0.4381159937399774, 'Node_2': 0.44158078787689337, 'Node_3': 0.7311728358545918, 'Node_4': 2.24050516373853}
# difference=-0.6296355462670675
# columns:
#      iteration   running_frequency   running_estimation
1 0.0 -3.141592653589793
2 0.5 -1.5707963267948966
3 0.6666666666666666 -1.2309594173407747
4 0.75 -1.0471975511965979
5 0.8 -0.9272952180016121
6 0.6666666666666666 -1.2309594173407747
7 0.7142857142857143 -1.1278852827212575
8 0.75 -1.0471975511965979
9 0.7777777777777778 -0.9817653565786227
10 0.8 -0.9272952180016121
11 0.8181818181818182 -0.8810213260093969
12 0.8333333333333334 -0.8410686705679301
13 0.7692307692307693 -1.0021860265307143
14 0.7142857142857143 -1.1278852827212575
15 0.7333333333333333 -1.0852782044993057
16 0.6875 -1.1863995522992576
17 0.6470588235294118 -1.2722641256100202
18 0.6111111111111112 -1.3467032344935257
19 0.631578947368421 -1.3045023096767139
20 0.6 -1.369438406004566
21 0.5714285714285714 -1.4274487578895314
22 0.5909090909090909 -1.387961189801988
23 0.6086956521739131 -1.3516552677973643
24 0.5833333333333334 -1.4033482475752073
25 0.56 -1.4505064444001083
26 0.5384615384615384 -1.493797186138073
27 0.5555555555555556 -1.4594553124539327
28 0.5357142857142857 -1.499306876909376
29 0.5172413793103449 -1.5363067308332177
30 0.5333333333333333 -1.5040801783846713
31 0.5161290322580645 -1.5385326651266498
32 0.5 -1.5707963267948966
33 0.5151515151515151 -1.5404886568287097
34 0.5294117647058824 -1.5119388208478153
35 0.5428571428571428 -1.484976736289001
36 0.5555555555555556 -1.4594553124539327
37 0.5675675675675675 -1.43524647941497
38 0.5526315789473685 -1.4653378013955787
39 0.5384615384615384 -1.493797186138073
40 0.55 -1.4706289056333368
41 0.5609756097560976 -1.4485407877551149
42 0.5476190476190477 -1.4754136677866871
43 0.5581395348837209 -1.4542536183455577
44 0.5454545454545454 -1.4797615487574816
45 0.5333333333333333 -1.5040801783846713
46 0.5434782608695652 -1.483729844447501
47 0.5319148936170213 -1.5069231169049548
48 0.5416666666666666 -1.4873662401842818
49 0.5306122448979592 -1.5095335229668418
50 0.52 -1.5307856524409076
51 0.5098039215686274 -1.5511872270104372
52 0.5 -1.5707963267948966
53 0.49056603773584906 -1.5896653709949558
54 0.5 -1.5707963267948966
55 0.509090909090909 -1.5526135067109603
56 0.5178571428571429 -1.5350744443968178
57 0.5087719298245614 -1.5532515670590807
58 0.5172413793103449 -1.5363067308332177
59 0.5084745762711864 -1.5538463626397694
60 0.5 -1.5707963267948966
61 0.5081967213114754 -1.554402149807282
62 0.5161290322580645 -1.5385326651266498
63 0.5238095238095238 -1.5231592641704934
64 0.53125 -1.5082555649984053
65 0.5230769230769231 -1.5246260789329507
66 0.5303030303030303 -1.5101531027633806
67 0.5223880597014925 -1.5260052319302493
68 0.5147058823529411 -1.541380319986964
69 0.5072463768115942 -1.556303065780977
70 0.5142857142857142 -1.5422210095256041
71 0.5211267605633803 -1.5285302225980408
72 0.5138888888888888 -1.5430149755311016
73 0.5205479452054794 -1.5296888599659195
74 0.5135135135135135 -1.5437660083246183
75 0.52 -1.5307856524409076
76 0.5131578947368421 -1.5444774990024497
77 0.5194805194805194 -1.5318254241949654
78 0.5256410256410257 -1.5194917715306968
79 0.5316455696202531 -1.5074628562637633
80 0.5375 -1.4957258357181802
81 0.5432098765432098 -1.484268641409266
82 0.5487804878048781 -1.4730799179457903
83 0.5421686746987951 -1.4863586770728725
84 0.5357142857142857 -1.499306876909376
85 0.5411764705882353 -1.4883500140061816
86 0.5348837209302325 -1.5009721618115346
87 0.5287356321839081 -1.5132933778949371
88 0.5340909090909091 -1.5025615709737177
89 0.5393258426966292 -1.492063323794449
90 0.5333333333333333 -1.5040801783846713
91 0.5384615384615384 -1.493797186138073
92 0.5434782608695652 -1.483729844447501
93 0.5376344086021505 -1.49545625652469
94 0.5319148936170213 -1.5069231169049548
95 0.5368421052631579 -1.4970452764492685
96 0.53125 -1.5082555649984053
97 0.5257731958762887 -1.5192270809834592
98 0.5306122448979592 -1.5095335229668418
99 0.5353535353535354 -1.5000302065962934
100 0.54 -1.4907107467612375
101 0.5445544554455446 -1.481569065825188
102 0.5490196078431373 -1.4725993741760572
103 0.5436893203883495 -1.4833061125399614
104 0.5384615384615384 -1.493797186138073
105 0.5428571428571428 -1.484976736289001
106 0.5471698113207547 -1.476316204175479
107 0.5420560747663551 -1.4865846799755724
108 0.5462962962962963 -1.47807091577124
109 0.5504587155963303 -1.469706809733932
110 0.5545454545454546 -1.4614878719773934
111 0.5585585585585585 -1.4534098055647602
112 0.5535714285714286 -1.463447410693028
113 0.5486725663716814 -1.4732967931117547
114 0.543859649122807 -1.4829641419765929
115 0.5391304347826087 -1.4924553480179388
116 0.5344827586206896 -1.5017760227568324
117 0.5299145299145299 -1.51093151616561
118 0.5254237288135594 -1.519926932924851
119 0.5210084033613446 -1.5287671474109426
120 0.525 -1.5207754699891265
121 0.5206611570247934 -1.5294622438264012
122 0.5163934426229508 -1.5380035644987826
123 0.5203252032520326 -1.5301347164593062
124 0.5161290322580645 -1.5385326651266498
125 0.52 -1.5307856524409076
126 0.5158730158730159 -1.5390449602982672
127 0.5196850393700787 -1.531416070330147
128 0.515625 -1.5395412382954015
129 0.5193798449612403 -1.532026925437676
130 0.5230769230769231 -1.5246260789329507
131 0.5267175572519084 -1.5173357505795046
132 0.5227272727272727 -1.5253261143778996
133 0.5263157894736842 -1.518140418533327
134 0.5298507462686567 -1.5110593118976536
135 0.5259259259259259 -1.518921211846091
136 0.5294117647058824 -1.5119388208478153
137 0.5255474452554745 -1.5196791779899046
138 0.5217391304347826 -1.5273043560047808
139 0.5251798561151079 -1.520415304018951
140 0.5214285714285715 -1.5279260535486596
141 0.5177304964539007 -1.535327897751643
142 0.5211267605633803 -1.5285302225980408
143 0.5244755244755245 -1.5218257072740795
144 0.5208333333333334 -1.5291175943723188
145 0.5172413793103449 -1.5363067308332177
146 0.5205479452054794 -1.5296888599659195
147 0.5238095238095238 -1.5231592641704934
148 0.527027027027027 -1.5167159151807208
149 0.5234899328859061 -1.5237991622318339
150 0.52 -1.5307856524409076
151 0.5231788079470199 -1.524422090849846
152 0.5263157894736842 -1.518140418533327
153 0.5294117647058824 -1.5119388208478153
154 0.525974025974026 -1.5188248819249914
155 0.5225806451612903 -1.5256196709732934
156 0.5256410256410257 -1.5194917715306968
157 0.5222929936305732 -1.5261955541465955
158 0.5189873417721519 -1.5328125102556083
159 0.5220125786163522 -1.5267569354442854
160 0.51875 -1.5332875321659079
161 0.5217391304347826 -1.5273043560047808
162 0.5185185185185185 -1.5337508169828047
163 0.5214723926380368 -1.5278383303655825
164 0.5182926829268293 -1.5342027945032117
165 0.5151515151515151 -1.5404886568287097
166 0.5120481927710844 -1.5466976087725643
167 0.5149700598802395 -1.5408517321214295
168 0.5119047619047619 -1.5469845528342279
169 0.514792899408284 -1.5412062101062662
170 0.5176470588235295 -1.5354948775388602
171 0.52046783625731 -1.5298492127995371
172 0.5174418604651163 -1.5359055271389603
173 0.5144508670520231 -1.541890567525268
174 0.5172413793103449 -1.5363067308332177
175 0.5142857142857142 -1.5422210095256041
176 0.5170454545454546 -1.5366988108953963
177 0.519774011299435 -1.5312379877784388
178 0.5224719101123596 -1.5258373621112213
179 0.5195530726256983 -1.5316802072344808
180 0.5222222222222223 -1.5263372374131252
181 0.5248618784530387 -1.5210520571243336
182 0.5274725274725275 -1.5158235880787845
183 0.5245901639344263 -1.521596151868625
184 0.5271739130434783 -1.5164217106804527
185 0.5297297297297298 -1.5113017757117453
186 0.532258064516129 -1.5062353574774197
187 0.5347593582887701 -1.501221492476675
188 0.5372340425531915 -1.4962592422890235
189 0.5396825396825397 -1.4913476927097595
190 0.5368421052631579 -1.4970452764492685
191 0.5392670157068062 -1.4921813428309605
192 0.5416666666666666 -1.4873662401842818
193 0.538860103626943 -1.4929976621711283
194 0.5412371134020618 -1.4882283143824384
195 0.5435897435897435 -1.483506029038625
196 0.5459183673469388 -1.4788300080666077
197 0.5482233502538071 -1.4741994729207522
198 0.5454545454545454 -1.4797615487574816
199 0.542713567839196 -1.4852649434409257
200 0.54 -1.4907107467612375
201 0.5422885572139303 -1.4861180523150654
202 0.5396039603960396 -1.4915053476010036
203 0.541871921182266 -1.4869542912001839
204 0.5392156862745098 -1.4922843193291209
205 0.5365853658536586 -1.4975601451312726
206 0.5339805825242718 -1.5027827371142877
207 0.5314009661835749 -1.5079530383159947
208 0.5288461538461539 -1.5130719672037043
209 0.5263157894736842 -1.518140418533327
210 0.5285714285714286 -1.5136223257142336
211 0.5308056872037915 -1.5091459065860247
212 0.5330188679245284 -1.5047104982711608
213 0.5305164319248826 -1.5097255079455945
214 0.5327102803738317 -1.505329010915289
215 0.5302325581395348 -1.5102943060517344
216 0.5324074074074074 -1.5059360452326194
217 0.5345622119815668 -1.501616735904551
218 0.5321100917431193 -1.5065319180258867
219 0.5342465753424658 -1.5022495089499472
220 0.5363636363636364 -1.4980047887914865
221 0.5384615384615384 -1.493797186138073
222 0.5405405405405406 -1.4896261421075945
223 0.5426008968609866 -1.4854911099841641
224 0.5446428571428571 -1.4813915548673016
225 0.5466666666666666 -1.4773269533338038
226 0.5486725663716814 -1.4732967931117547
227 0.5506607929515418 -1.4693005727661403
228 0.5526315789473685 -1.4653378013955787
229 0.5545851528384279 -1.4614079983396864
230 0.5565217391304348 -1.4575106928966277
231 0.5584415584415584 -1.4536454240504293
232 0.5603448275862069 -1.4498117402076403
233 0.5579399141630901 -1.4546555770580514
234 0.5555555555555556 -1.4594553124539327
235 0.5531914893617021 -1.464211657177625
236 0.5550847457627118 -1.4604027488474605
237 0.5527426160337553 -1.4651144839340222
238 0.5546218487394958 -1.4613341649421532
239 0.5523012552301255 -1.4660021163186048
240 0.5541666666666667 -1.462249964467095
241 0.5518672199170125 -1.466874935400818
242 0.5537190082644629 -1.4631505376720764
243 0.551440329218107 -1.4677333095902552
244 0.5491803278688525 -1.4722763729633483
245 0.5510204081632653 -1.4685775951589823
246 0.5487804878048781 -1.4730799179457903
247 0.5465587044534413 -1.477543822217691
248 0.5443548387096774 -1.481969886659658
249 0.5421686746987951 -1.4863586770728725
250 0.54 -1.4907107467612375
251 0.5378486055776892 -1.4950266369031722
252 0.5396825396825397 -1.4913476927097595
253 0.541501976284585 -1.4876967660611764
254 0.5433070866141733 -1.4840734895211538
255 0.5450980392156862 -1.4804775026215784
256 0.54296875 -1.484752695325386
257 0.5447470817120622 -1.4811822678912554
258 0.5426356589147286 -1.4854213319363947
259 0.5405405405405406 -1.4896261421075945
260 0.5423076923076923 -1.4860796444473277
261 0.5440613026819924 -1.4825592669586012
262 0.5458015267175572 -1.4790646784977495
263 0.5475285171102662 -1.475595553989635
264 0.5454545454545454 -1.4797615487574816
265 0.5471698113207547 -1.476316204175479
266 0.5451127819548872 -1.4804478964296015
267 0.5468164794007491 -1.4770260099921386
268 0.5485074626865671 -1.4736285708474575
269 0.5464684014869888 -1.477725214745672
270 0.5444444444444444 -1.4817899644143495
271 0.5461254612546126 -1.4784140545072908
272 0.5441176470588235 -1.4824461375260898
273 0.5421245421245421 -1.4864472574796486
274 0.5401459854014599 -1.4904178336958778
275 0.5381818181818182 -1.4943582771137212
276 0.5398550724637681 -1.4910015304570021
277 0.5415162454873647 -1.487668128800634
278 0.539568345323741 -1.4915768020449622
279 0.5412186379928315 -1.4882653914584825
280 0.5392857142857143 -1.492143829756246
281 0.5409252669039146 -1.4888541232765862
282 0.5390070921985816 -1.4927027897174696
283 0.5406360424028268 -1.4894345059326237
284 0.5422535211267606 -1.4861883762554573
285 0.543859649122807 -1.4829641419765929
286 0.5454545454545454 -1.4797615487574816
287 0.5470383275261324 -1.4765803465324967
288 0.5451388888888888 -1.4803954686031415
289 0.5467128027681661 -1.4772342761864536
290 0.5448275862068965 -1.4810206090505975
291 0.5463917525773195 -1.477879177814789
292 0.547945205479452 -1.4747583528500985
293 0.5494880546075085 -1.4716579015641924
294 0.5510204081632653 -1.4685775951589823
295 0.5525423728813559 -1.4655172085486303
296 0.5506756756756757 -1.469270653298742
297 0.5521885521885522 -1.4662287630762332
298 0.5536912751677853 -1.4632063266166941
299 0.5551839464882943 -1.4602031300835663
300 0.5566666666666666 -1.4572189630335939
301 0.5548172757475083 -1.4609409490723948
302 0.5529801324503312 -1.4646367738396426
303 0.5544554455445545 -1.4616689690188371
304 0.5526315789473685 -1.4653378013955787
305 0.5540983606557377 -1.462387384233259
306 0.5555555555555556 -1.4594553124539327
307 0.5537459283387622 -1.463096383912286
308 0.551948051948052 -1.4667123930566477
309 0.5501618122977346 -1.4703036453548461
310 0.5483870967741935 -1.4738704407548877
311 0.5466237942122186 -1.47741307381972
312 0.5480769230769231 -1.4744936947219593
313 0.5463258785942492 -1.4780114957480799
314 0.5477707006369427 -1.4751089723388053
315 0.546031746031746 -1.4786022859780155
316 0.5474683544303798 -1.475716425984496
317 0.5488958990536278 -1.4728479864042527
318 0.550314465408805 -1.4699967862569665
319 0.5517241379310345 -1.4671626472801662
320 0.553125 -1.4643453938751472
321 0.5514018691588785 -1.4678106397376223
322 0.5496894409937888 -1.4712531331829466
323 0.5479876160990712 -1.4746731385865215
324 0.5462962962962963 -1.47807091577124
325 0.5476923076923077 -1.4752664775580153
326 0.5460122699386503 -1.4786414042235363
327 0.5443425076452599 -1.4819946463758658
328 0.5426829268292683 -1.4853264501418593
329 0.541033434650456 -1.4886370575144685
330 0.5393939393939394 -1.4919267064464403
331 0.5377643504531722 -1.4951956309413181
332 0.536144578313253 -1.4984440611418335
333 0.5345345345345346 -1.50167222341579
334 0.5329341317365269 -1.5048803404395146
335 0.5343283582089552 -1.502085557269364
336 0.5357142857142857 -1.499306876909376
337 0.5370919881305638 -1.4965441391613752
338 0.5355029585798816 -1.49973060710509
339 0.5368731563421829 -1.4969830048707353
340 0.538235294117647 -1.4942510115909082
341 0.5366568914956011 -1.497416708602429
342 0.5380116959064327 -1.4946995136239787
343 0.5364431486880467 -1.497845340978257
344 0.5348837209302325 -1.5009721618115346
345 0.5362318840579711 -1.4982689905092674
346 0.5346820809248555 -1.501376421198003
347 0.5360230547550432 -1.4986877436569075
348 0.5373563218390804 -1.4960140005365177
