# parameters:
#     num_nodes=4, num_iters=400, num_dishonest=2, dishonest_action=2
# dishonest_nodes=['Node_4', 'Node_2']
# phases={'Node_1': 0.4381159937399774, 'Node_2': 1.9009279507291714, 'Node_3': 2.543576044376501, 'Node_4': 1.7740073446361142}
# difference=-0.693243257248807
# columns:
#      iteration   running_frequency   running_estimation
1 0.0 -3.141592653589793
2 0.0 -3.141592653589793
3 0.3333333333333333 -1.9106332362490186
4 0.25 -2.0943951023931957
5 0.4 -1.7721542475852274
6 0.5 -1.5707963267948966
7 0.5714285714285714 -1.4274487578895314
8 0.625 -1.318116071652818
9 0.5555555555555556 -1.4594553124539327
10 0.6 -1.369438406004566
11 0.6363636363636364 -1.2945696960313051
12 0.6666666666666666 -1.2309594173407747
13 0.6153846153846154 -1.3379281485368142
14 0.5714285714285714 -1.4274487578895314
15 0.6 -1.369438406004566
16 0.5625 -1.4454684956268313
17 0.5294117647058824 -1.5119388208478153
18 0.5555555555555556 -1.4594553124539327
19 0.5263157894736842 -1.518140418533327
20 0.5 -1.5707963267948966
21 0.5238095238095238 -1.5231592641704934
22 0.5 -1.5707963267948966
23 0.5217391304347826 -1.5273043560047808
24 0.5 -1.5707963267948966
25 0.48 -1.6108070011488855
26 0.46153846153846156 -1.6477954674517201
27 0.48148148148148145 -1.6078418366069887
28 0.4642857142857143 -1.642285776680417
29 0.4827586206896552 -1.6052859227565754
30 0.5 -1.5707963267948966
31 0.5161290322580645 -1.5385326651266498
32 0.53125 -1.5082555649984053
33 0.5454545454545454 -1.4797615487574816
34 0.5588235294117647 -1.4528761747696473
35 0.5714285714285714 -1.4274487578895314
36 0.5555555555555556 -1.4594553124539327
37 0.5405405405405406 -1.4896261421075945
38 0.5526315789473685 -1.4653378013955787
39 0.5641025641025641 -1.4422373667534711
40 0.55 -1.4706289056333368
41 0.5609756097560976 -1.4485407877551149
42 0.5714285714285714 -1.4274487578895314
43 0.5581395348837209 -1.4542536183455577
44 0.5454545454545454 -1.4797615487574816
45 0.5555555555555556 -1.4594553124539327
46 0.5434782608695652 -1.483729844447501
47 0.5319148936170213 -1.5069231169049548
48 0.5416666666666666 -1.4873662401842818
49 0.5306122448979592 -1.5095335229668418
50 0.54 -1.4907107467612375
51 0.5490196078431373 -1.4725993741760572
52 0.5384615384615384 -1.493797186138073
53 0.5471698113207547 -1.476316204175479
54 0.5555555555555556 -1.4594553124539327
55 0.5454545454545454 -1.4797615487574816
56 0.5535714285714286 -1.463447410693028
57 0.543859649122807 -1.4829641419765929
58 0.5344827586206896 -1.5017760227568324
59 0.5254237288135594 -1.519926932924851
60 0.5333333333333333 -1.5040801783846713
61 0.5409836065573771 -1.4887370505846063
62 0.532258064516129 -1.5062353574774197
63 0.5238095238095238 -1.5231592641704934
64 0.53125 -1.5082555649984053
65 0.5384615384615384 -1.493797186138073
66 0.5454545454545454 -1.4797615487574816
67 0.5522388059701493 -1.4661277029685484
68 0.5588235294117647 -1.4528761747696473
69 0.5652173913043478 -1.4399888307171895
70 0.5714285714285714 -1.4274487578895314
71 0.5774647887323944 -1.4152401570927728
72 0.5694444444444444 -1.4314569860371271
73 0.5753424657534246 -1.4195352480490129
74 0.5675675675675675 -1.43524647941497
75 0.5733333333333334 -1.4235986768177096
76 0.5789473684210527 -1.4122380461571968
77 0.5844155844155844 -1.4011526325291968
78 0.5897435897435898 -1.390331186398881
79 0.5949367088607594 -1.3797631095273262
80 0.6 -1.369438406004566
81 0.5925925925925926 -1.3845360232183404
82 0.5853658536585366 -1.399224094712437
83 0.5903614457831325 -1.3890749311711097
84 0.5833333333333334 -1.4033482475752073
85 0.5764705882352941 -1.4172525442553408
86 0.5813953488372093 -1.4072779026094706
87 0.5862068965517241 -1.397516690377356
88 0.5909090909090909 -1.387961189801988
89 0.5842696629213483 -1.4014487184391657
90 0.5888888888888889 -1.392068532039123
91 0.5934065934065934 -1.3828791080459575
92 0.5978260869565217 -1.3738738940458508
93 0.6021505376344086 -1.3650466568077546
94 0.5957446808510638 -1.3781169617901448
95 0.6 -1.369438406004566
96 0.6041666666666666 -1.360925734532159
97 0.5979381443298969 -1.3736453573397243
98 0.6020408163265306 -1.365270822369603
99 0.5959595959595959 -1.3776790087377566
100 0.59 -1.389809875548349
101 0.594059405940594 -1.3815499177800175
102 0.5882352941176471 -1.3933967223545263
103 0.5825242718446602 -1.4049890969861174
104 0.5865384615384616 -1.396843439078813
105 0.580952380952381 -1.4081757496007725
106 0.5754716981132075 -1.41927379283836
107 0.5794392523364486 -1.4112417015958283
108 0.5833333333333334 -1.4033482475752073
109 0.5871559633027523 -1.3955893731546514
110 0.5818181818181818 -1.4064207427642457
111 0.5855855855855856 -1.3987780650549433
112 0.5892857142857143 -1.3912619754186977
113 0.5929203539823009 -1.3838689207406645
114 0.5964912280701754 -1.3765954898266686
115 0.6 -1.369438406004566
116 0.5948275862068966 -1.3799853938130844
117 0.5982905982905983 -1.372926472957167
118 0.5932203389830508 -1.3832582785972845
119 0.5882352941176471 -1.3933967223545263
120 0.5833333333333334 -1.4033482475752073
121 0.5867768595041323 -1.3963593166202661
122 0.5819672131147541 -1.4061186000323378
123 0.5772357723577236 -1.4157037711082079
124 0.5806451612903226 -1.4087983722237711
125 0.584 -1.4019958457774897
126 0.5793650793650794 -1.4113919542334163
127 0.5748031496062992 -1.42062624809322
128 0.5703125 -1.4297036673390027
129 0.5736434108527132 -1.4229717129074329
130 0.5769230769230769 -1.4163367283107127
131 0.5801526717557252 -1.4097963374958233
132 0.5833333333333334 -1.4033482475752073
133 0.5789473684210527 -1.4122380461571968
134 0.5746268656716418 -1.4209828194389547
135 0.5703703703703704 -1.4295867639602589
136 0.5735294117647058 -1.423202221135864
137 0.5693430656934306 -1.4316617249653179
138 0.572463768115942 -1.4253565916676674
139 0.5755395683453237 -1.419136477649145
140 0.5785714285714286 -1.4129994310128815
141 0.574468085106383 -1.4213039701092691
142 0.5704225352112676 -1.4294813846018737
143 0.5664335664335665 -1.4375351230738043
144 0.5694444444444444 -1.4314569860371271
145 0.5724137931034483 -1.4254576074505698
146 0.5753424657534246 -1.4195352480490129
147 0.5714285714285714 -1.4274487578895314
148 0.5675675675675675 -1.43524647941497
149 0.5637583892617449 -1.442931413110263
150 0.56 -1.4505064444001083
151 0.5629139072847682 -1.4446340930117227
152 0.5657894736842105 -1.4388347191350213
153 0.5686274509803921 -1.4331067744906678
154 0.5714285714285714 -1.4274487578895314
155 0.5741935483870968 -1.4218592133502763
156 0.5769230769230769 -1.4163367283107127
157 0.5796178343949044 -1.4108799319272916
158 0.5822784810126582 -1.4054874934575414
159 0.5849056603773585 -1.400158120720579
160 0.5875 -1.3948905586311804
161 0.5838509316770186 -1.4022982731468
162 0.5802469135802469 -1.4096053813778333
163 0.5828220858895705 -1.4043851559773688
164 0.5792682926829268 -1.411588010144677
165 0.5757575757575758 -1.4186953851081132
166 0.572289156626506 -1.4257095318739765
167 0.5688622754491018 -1.432632622619736
168 0.5714285714285714 -1.4274487578895314
169 0.5680473372781065 -1.4342779927109344
170 0.5705882352941176 -1.4291466396840296
171 0.5730994152046783 -1.4240716110134621
172 0.5697674418604651 -1.4308046390404239
173 0.5722543352601156 -1.425779913725433
174 0.5747126436781609 -1.4208093177742591
175 0.5771428571428572 -1.4158918563491623
176 0.5795454545454546 -1.4110265608115473
177 0.576271186440678 -1.4176560829163205
178 0.5786516853932584 -1.4128368959378703
179 0.5754189944134078 -1.41938042108307
180 0.5722222222222222 -1.4258448207916652
181 0.574585635359116 -1.4210662136495043
182 0.5714285714285714 -1.4274487578895314
183 0.5737704918032787 -1.4227147435878988
184 0.5760869565217391 -1.4180288952097482
185 0.5783783783783784 -1.413390376553666
186 0.5752688172043011 -1.4196842447435214
187 0.5775401069518716 -1.4150876777427766
188 0.574468085106383 -1.4213039701092691
189 0.5714285714285714 -1.4274487578895314
190 0.5736842105263158 -1.4228892133036841
191 0.5759162303664922 -1.4183743618431566
192 0.5729166666666666 -1.424441067850097
193 0.5751295336787565 -1.419966016818216
194 0.5721649484536082 -1.4259605813525553
195 0.5743589743589743 -1.421524649255364
196 0.576530612244898 -1.4171310659508392
197 0.5786802030456852 -1.4127791413448723
198 0.5757575757575758 -1.4186953851081132
199 0.5778894472361809 -1.4143804016168182
200 0.58 -1.410105673842986
201 0.582089552238806 -1.4058705610789246
202 0.5841584158415841 -1.4016744372301657
203 0.5812807881773399 -1.4075101171388478
204 0.5833333333333334 -1.4033482475752073
205 0.5853658536585366 -1.399224094712437
206 0.5825242718446602 -1.4049890969861174
207 0.5845410628019324 -1.4008980152462103
208 0.5817307692307693 -1.4065979540502702
209 0.5789473684210527 -1.4122380461571968
210 0.5761904761904761 -1.4178194128441421
211 0.5781990521327014 -1.413753508024549
212 0.5801886792452831 -1.4097233785464292
213 0.5821596244131455 -1.4057284872079094
214 0.5841121495327103 -1.4017683083709382
215 0.5813953488372093 -1.4072779026094706
216 0.5787037037037037 -1.4127315468826522
217 0.576036866359447 -1.418130255218593
218 0.5779816513761468 -1.4141937114987808
219 0.5799086757990868 -1.4102907032380274
220 0.5772727272727273 -1.4156289629412606
221 0.5746606334841629 -1.4209145184212328
222 0.5720720720720721 -1.426148297027136
223 0.5739910313901345 -1.4222687689552522
224 0.5714285714285714 -1.4274487578895314
225 0.5733333333333334 -1.4235986768177096
226 0.5752212389380531 -1.4197804974477852
227 0.5770925110132159 -1.415993768070427
228 0.5745614035087719 -1.4211152255468675
229 0.5720524017467249 -1.4261880527447512
230 0.5695652173913044 -1.431213071987327
231 0.5670995670995671 -1.436191084899649
232 0.5689655172413793 -1.4324241494097893
233 0.5708154506437768 -1.428687596522979
234 0.5683760683760684 -1.4336143256276703
235 0.5702127659574469 -1.4299051345650609
236 0.5677966101694916 -1.4347841387829856
237 0.5654008438818565 -1.4396187550250512
238 0.5672268907563025 -1.4359341086439623
239 0.5648535564853556 -1.4407227351183942
240 0.5625 -1.4454684956268313
241 0.5643153526970954 -1.441808236422471
242 0.5619834710743802 -1.4465096519724991
243 0.5596707818930041 -1.4511696466433823
244 0.5614754098360656 -1.4475336080785177
245 0.5591836734693878 -1.4521508183836467
246 0.5609756097560976 -1.4485407877551149
247 0.5587044534412956 -1.4531159887247207
248 0.5564516129032258 -1.4576518490301675
249 0.5582329317269076 -1.4540655468338801
250 0.56 -1.4505064444001083
251 0.5617529880478087 -1.4469741879351443
252 0.5595238095238095 -1.45146570198727
253 0.5573122529644269 -1.4559193207939902
254 0.5551181102362205 -1.4603356109714036
255 0.5568627450980392 -1.4568242542320744
256 0.55859375 -1.4533389346619565
257 0.5603112840466926 -1.449879321007323
258 0.5581395348837209 -1.4542536183455577
259 0.5598455598455598 -1.4508175671125525
260 0.5615384615384615 -1.4474065395822249
261 0.5632183908045977 -1.4440202232476018
262 0.5610687022900763 -1.4483532004062603
263 0.5627376425855514 -1.4449894387270497
264 0.5606060606060606 -1.4492854101052162
265 0.5622641509433962 -1.4459439084170616
266 0.5601503759398496 -1.450203497884879
267 0.5580524344569289 -1.4544290071472183
268 0.5559701492537313 -1.4586209197147768
